scenario_name,scenario_order,pathway,pathway_order,pathway_rank_within_scenario,writing_label,selected_in_baseline_portfolio,selected_flag,claim_boundary,claim_color_group,metric_key,metric_label,metric_family,unit,value,value_available,value_label
baseline_region_case,1,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,best_case_energy_pj_per_year,Best-case energy,energy,PJ/year,14.75,True,14.75
baseline_region_case,1,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,best_case_environment_ktco2e_per_year,Best-case environment,environment,ktCO2e/year,228.4,True,228.4
baseline_region_case,1,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,baseline_portfolio_share_pct,Baseline portfolio share,portfolio_share,pct,100.0,True,100.0%
baseline_region_case,1,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,best_case_score_index,Best-case score index,score,index,1.291,True,1.291
baseline_region_case,1,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,score_gap_to_scenario_best_pct,Score gap to scenario best,score_gap,pct,0.0,True,0.0%
baseline_region_case,1,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,max_stress_selection_rate,Max stress selection rate,stress_support,pct,100.0,True,100.0%
baseline_region_case,1,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,best_case_energy_pj_per_year,Best-case energy,energy,PJ/year,9.65,True,9.65
baseline_region_case,1,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,best_case_environment_ktco2e_per_year,Best-case environment,environment,ktCO2e/year,214.8,True,214.8
baseline_region_case,1,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,baseline_portfolio_share_pct,Baseline portfolio share,portfolio_share,pct,0.0,True,0.0%
baseline_region_case,1,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,best_case_score_index,Best-case score index,score,index,0.813,True,0.813
baseline_region_case,1,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,score_gap_to_scenario_best_pct,Score gap to scenario best,score_gap,pct,37.0,True,37.0%
baseline_region_case,1,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,max_stress_selection_rate,Max stress selection rate,stress_support,pct,12.5,True,12.5%
baseline_region_case,1,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,best_case_energy_pj_per_year,Best-case energy,energy,PJ/year,1.5,True,1.50
baseline_region_case,1,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,best_case_environment_ktco2e_per_year,Best-case environment,environment,ktCO2e/year,291.1,True,291.1
baseline_region_case,1,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,baseline_portfolio_share_pct,Baseline portfolio share,portfolio_share,pct,0.0,True,0.0%
baseline_region_case,1,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,best_case_score_index,Best-case score index,score,index,0.078,True,0.078
baseline_region_case,1,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,score_gap_to_scenario_best_pct,Score gap to scenario best,score_gap,pct,93.9,True,93.9%
baseline_region_case,1,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,max_stress_selection_rate,Max stress selection rate,stress_support,pct,,False,not available
baseline_region_case,1,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,best_case_energy_pj_per_year,Best-case energy,energy,PJ/year,0.79,True,0.79
baseline_region_case,1,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,best_case_environment_ktco2e_per_year,Best-case environment,environment,ktCO2e/year,0.0,True,0.0
baseline_region_case,1,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,baseline_portfolio_share_pct,Baseline portfolio share,portfolio_share,pct,0.0,True,0.0%
baseline_region_case,1,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,best_case_score_index,Best-case score index,score,index,0.017,True,0.017
baseline_region_case,1,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,score_gap_to_scenario_best_pct,Score gap to scenario best,score_gap,pct,98.7,True,98.7%
baseline_region_case,1,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,max_stress_selection_rate,Max stress selection rate,stress_support,pct,,False,not available
high_supply_case,2,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,best_case_energy_pj_per_year,Best-case energy,energy,PJ/year,16.23,True,16.23
high_supply_case,2,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,best_case_environment_ktco2e_per_year,Best-case environment,environment,ktCO2e/year,251.3,True,251.3
high_supply_case,2,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,baseline_portfolio_share_pct,Baseline portfolio share,portfolio_share,pct,100.0,True,100.0%
high_supply_case,2,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,best_case_score_index,Best-case score index,score,index,1.291,True,1.291
high_supply_case,2,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,score_gap_to_scenario_best_pct,Score gap to scenario best,score_gap,pct,0.0,True,0.0%
high_supply_case,2,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,max_stress_selection_rate,Max stress selection rate,stress_support,pct,100.0,True,100.0%
high_supply_case,2,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,best_case_energy_pj_per_year,Best-case energy,energy,PJ/year,10.62,True,10.62
high_supply_case,2,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,best_case_environment_ktco2e_per_year,Best-case environment,environment,ktCO2e/year,236.3,True,236.3
high_supply_case,2,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,baseline_portfolio_share_pct,Baseline portfolio share,portfolio_share,pct,0.0,True,0.0%
