sample_id,dataset_scope,data_tier,recommended_split,source_repo,source_file,source_dataset_kind,reference_label,pathway,feedstock_name,feedstock_group,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,process_temperature_c,residence_time_min,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct
Wet-Waste-Biomass-Opt::htc::0001,observed_htc_direct_ml,observed_literature,validation,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Su et al., 2021)",htc,Food waste,food_waste,44.06,6.25,4.2,32.18,90.1,80.3,5.1,13.01,210,30,45.4,21.13,50.07,48.35
Wet-Waste-Biomass-Opt::htc::0002,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Su et al., 2021)",htc,Food waste,food_waste,44.06,6.25,4.2,32.18,90.1,80.3,5.1,13.01,240,30,37.5,21.24,41.57,40.01
Wet-Waste-Biomass-Opt::htc::0003,observed_htc_direct_ml,observed_literature,test,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Su et al., 2021)",htc,Food waste,food_waste,44.06,6.25,4.2,32.18,90.1,80.3,5.1,13.01,270,30,36.4,20.97,39.84,38.93
Wet-Waste-Biomass-Opt::htc::0004,observed_htc_direct_ml,observed_literature,test,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Su et al., 2021)",htc,Food waste,food_waste,44.06,6.25,4.2,32.18,90.1,80.3,5.1,13.01,270,60,34.8,22.32,40.54,38.83
Wet-Waste-Biomass-Opt::htc::0005,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Su et al., 2021)",htc,Food waste,food_waste,44.06,6.25,4.2,32.18,90.1,80.3,5.1,13.01,270,90,34.3,24.07,43.09,40.34
Wet-Waste-Biomass-Opt::htc::0006,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Gao et al., 2019)",htc,Sludge,sludge,25.83,4.14,4.23,22.7,93.0,46.67,10.23,43.1,160,60,94.15,10.14,90.19,87.66
Wet-Waste-Biomass-Opt::htc::0007,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Gao et al., 2019)",htc,Sludge,sludge,25.83,4.14,4.23,22.7,93.0,46.67,10.23,43.1,180,60,84.01,10.88,86.27,85.83
Wet-Waste-Biomass-Opt::htc::0008,observed_htc_direct_ml,observed_literature,test,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Gao et al., 2019)",htc,Sludge,sludge,25.83,4.14,4.23,22.7,93.0,46.67,10.23,43.1,200,30,71.24,10.76,72.37,73.34
Wet-Waste-Biomass-Opt::htc::0009,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Gao et al., 2019)",htc,Sludge,sludge,25.83,4.14,4.23,22.7,93.0,46.67,10.23,43.1,200,60,67.89,11.01,70.59,70.89
Wet-Waste-Biomass-Opt::htc::0010,observed_htc_direct_ml,observed_literature,test,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Gao et al., 2019)",htc,Sludge,sludge,25.83,4.14,4.23,22.7,93.0,46.67,10.23,43.1,200,90,66.31,11.33,70.91,69.96
Wet-Waste-Biomass-Opt::htc::0011,observed_htc_direct_ml,observed_literature,validation,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Gao et al., 2019)",htc,Sludge,sludge,25.83,4.14,4.23,22.7,93.0,46.67,10.23,43.1,200,120,66.04,11.58,72.21,71.15
Wet-Waste-Biomass-Opt::htc::0012,observed_htc_direct_ml,observed_literature,test,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Gao et al., 2019)",htc,Sludge,sludge,25.83,4.14,4.23,22.7,93.0,46.67,10.23,43.1,220,60,65.89,11.7,72.76,69.46
Wet-Waste-Biomass-Opt::htc::0013,observed_htc_direct_ml,observed_literature,validation,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Gao et al., 2019)",htc,Sludge,sludge,25.83,4.14,4.23,22.7,93.0,46.67,10.23,43.1,240,90,61.83,12.01,70.11,66.71
Wet-Waste-Biomass-Opt::htc::0014,observed_htc_direct_ml,observed_literature,test,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Liu et al., 2019)",htc,Sludge,sludge,31.61,5.24,4.34,24.62,83.0,60.67,5.14,34.19,160,600,70.75,13.2,67.81,64.91
Wet-Waste-Biomass-Opt::htc::0015,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Liu et al., 2019)",htc,Sludge,sludge,31.61,5.24,4.34,24.62,83.0,60.67,5.14,34.19,180,600,67.22,13.58,66.32,62.16
Wet-Waste-Biomass-Opt::htc::0016,observed_htc_direct_ml,observed_literature,test,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Liu et al., 2019)",htc,Sludge,sludge,31.61,5.24,4.34,24.62,83.0,60.67,5.14,34.19,200,600,65.05,13.9,65.68,61.68
Wet-Waste-Biomass-Opt::htc::0017,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Liu et al., 2019)",htc,Sludge,sludge,31.61,5.24,4.34,24.62,83.0,60.67,5.14,34.19,220,600,61.73,13.2,59.16,56.26
Wet-Waste-Biomass-Opt::htc::0018,observed_htc_direct_ml,observed_literature,validation,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Liu et al., 2019)",htc,Sludge,sludge,31.61,5.24,4.34,24.62,83.0,60.67,5.14,34.19,240,600,59.85,14.77,64.19,58.03
Wet-Waste-Biomass-Opt::htc::0019,observed_htc_direct_ml,observed_literature,test,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(He et al., 2013)",htc,Sludge,sludge,36.7,6.4,5.5,22.8,85.7,69.98,1.42,28.6,200,240,53.9,14.62,45.13,48.91
Wet-Waste-Biomass-Opt::htc::0020,observed_htc_direct_ml,observed_literature,validation,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(He et al., 2013)",htc,Sludge,sludge,36.7,6.4,5.5,22.8,85.7,69.98,1.42,28.6,200,360,58.6,14.5,48.66,53.01
Wet-Waste-Biomass-Opt::htc::0021,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(He et al., 2013)",htc,Sludge,sludge,36.7,6.4,5.5,22.8,85.7,69.98,1.42,28.6,200,480,59.8,14.1,48.28,53.12
Wet-Waste-Biomass-Opt::htc::0022,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(He et al., 2013)",htc,Sludge,sludge,36.7,6.4,5.5,22.8,85.7,69.98,1.42,28.6,200,600,60.2,14.23,49.04,53.31
Wet-Waste-Biomass-Opt::htc::0023,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(He et al., 2013)",htc,Sludge,sludge,36.7,6.4,5.5,22.8,85.7,69.98,1.42,28.6,200,720,60.4,14.25,49.27,53.49
Wet-Waste-Biomass-Opt::htc::0024,observed_htc_direct_ml,observed_literature,test,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Lin et al., 2015)",htc,Sludge,sludge,22.65,3.22,1.32,25.37,93.75,47.38,5.18,47.44,180,30,78.0,7.06,71.18,72.01
Wet-Waste-Biomass-Opt::htc::0025,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Lin et al., 2015)",htc,Sludge,sludge,22.65,3.22,1.32,25.37,93.75,47.38,5.18,47.44,210,30,76.0,6.77,66.57,68.18
Wet-Waste-Biomass-Opt::htc::0026,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Lin et al., 2015)",htc,Sludge,sludge,22.65,3.22,1.32,25.37,93.75,47.38,5.18,47.44,240,30,72.5,6.34,59.48,62.93
Wet-Waste-Biomass-Opt::htc::0027,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Lin et al., 2015)",htc,Sludge,sludge,22.65,3.22,1.32,25.37,93.75,47.38,5.18,47.44,270,30,68.0,6.54,57.49,57.55
Wet-Waste-Biomass-Opt::htc::0028,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Lin et al., 2015)",htc,Sludge,sludge,22.65,3.22,1.32,25.37,93.75,47.38,5.18,47.44,300,30,65.0,6.66,56.02,54.84
Wet-Waste-Biomass-Opt::htc::0029,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhao et al., 2014)",htc,Sludge,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,180,15,62.26,25.25,65.06,63.46
Wet-Waste-Biomass-Opt::htc::0030,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhao et al., 2014)",htc,Sludge,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,180,30,60.07,25.89,64.35,62.41
Wet-Waste-Biomass-Opt::htc::0031,observed_htc_direct_ml,observed_literature,validation,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhao et al., 2014)",htc,Sludge,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,180,45,58.08,27.7,66.58,62.74
Wet-Waste-Biomass-Opt::htc::0032,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhao et al., 2014)",htc,Sludge,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,200,15,59.73,27.48,67.92,64.24
Wet-Waste-Biomass-Opt::htc::0033,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhao et al., 2014)",htc,Sludge,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,200,30,58.56,28.67,69.48,65.7
Wet-Waste-Biomass-Opt::htc::0034,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhao et al., 2014)",htc,Sludge,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,200,45,56.78,29.54,69.4,65.69
Wet-Waste-Biomass-Opt::htc::0035,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhao et al., 2014)",htc,Sludge,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,220,15,58.36,29.56,71.39,67.6
Wet-Waste-Biomass-Opt::htc::0036,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhao et al., 2014)",htc,Sludge,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,220,30,55.55,29.47,67.74,65.1
Wet-Waste-Biomass-Opt::htc::0037,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhao et al., 2014)",htc,Sludge,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,220,45,54.18,30.02,67.31,65.93
Wet-Waste-Biomass-Opt::htc::0038,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhao et al., 2014)",htc,Sludge,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,240,15,54.59,29.64,66.95,65.35
Wet-Waste-Biomass-Opt::htc::0039,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhao et al., 2014)",htc,Sludge,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,240,30,52.6,29.66,64.56,64.34
Wet-Waste-Biomass-Opt::htc::0040,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhao et al., 2014)",htc,Sludge,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,240,45,50.21,31.11,64.63,66.64
Wet-Waste-Biomass-Opt::htc::0041,observed_htc_direct_ml,observed_literature,validation,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Ma et al., 2019)",htc,Sludge,sludge,21.86,3.37,3.83,29.14,83.0,55.0,3.2,41.8,220,60,59.07,10.05,84.73,63.88
Wet-Waste-Biomass-Opt::htc::0042,observed_htc_direct_ml,observed_literature,train,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Danso-Boateng et al., 2015)",htc,Sludge,sludge,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,140,240,74.64,14.82,68.16,75.7
