sample_id,recommended_split,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,feedstock_hhv_mj_per_kg,process_temperature_c,residence_time_min,heating_rate_c_per_min,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct
Wet-Waste-Biomass-Opt::pyrolysis::0001,train,52.05,5.37,0.49,42.1,73.5,13.2,8.6,21.2,500,60,10.0,35.26,28.85,47.99,53.79
Wet-Waste-Biomass-Opt::pyrolysis::0002,train,43.06,5.98,0.55,50.42,79.4,10.8,2.9,16.44,500,60,10.0,29.05,21.34,37.72,43.8
Wet-Waste-Biomass-Opt::pyrolysis::0003,train,45.03,6.15,0.94,47.89,78.0,7.6,5.8,17.4,500,60,10.0,29.8,29.06,49.76,44.8
Wet-Waste-Biomass-Opt::pyrolysis::0004,validation,42.72,5.61,0.44,51.24,82.6,4.97,5.27,16.38,500,60,10.0,33.6,18.79,38.54,50.09
Wet-Waste-Biomass-Opt::pyrolysis::0005,train,42.76,5.99,0.39,50.88,82.7,3.22,0.24,16.27,500,60,10.0,30.24,20.12,37.4,46.2
Wet-Waste-Biomass-Opt::pyrolysis::0006,train,47.58,6.13,0.52,45.73,85.53,13.32,1.15,16.85,700,10,5.0,29.92,28.02,49.76,55.41
Wet-Waste-Biomass-Opt::pyrolysis::0007,validation,47.58,6.13,0.52,45.73,85.53,13.32,1.15,16.85,700,10,10.0,21.98,28.25,36.86,41.45
Wet-Waste-Biomass-Opt::pyrolysis::0008,train,47.58,6.13,0.52,45.73,85.53,13.32,1.15,16.85,700,10,20.0,20.08,27.76,33.08,36.81
Wet-Waste-Biomass-Opt::pyrolysis::0009,validation,47.58,6.13,0.52,45.73,85.53,13.32,1.15,16.85,700,10,30.0,18.17,27.29,29.44,32.83
Wet-Waste-Biomass-Opt::pyrolysis::0010,train,47.58,6.13,0.52,45.73,85.53,13.32,1.15,16.85,300,10,10.0,49.3,25.43,74.4,71.04
Wet-Waste-Biomass-Opt::pyrolysis::0011,test,47.58,6.13,0.52,45.73,85.53,13.32,1.15,16.85,400,10,10.0,30.7,27.46,50.03,48.16
Wet-Waste-Biomass-Opt::pyrolysis::0012,train,47.58,6.13,0.52,45.73,85.53,13.32,1.15,16.85,500,10,10.0,26.0,28.15,43.44,43.23
Wet-Waste-Biomass-Opt::pyrolysis::0013,train,47.58,6.13,0.52,45.73,85.53,13.32,1.15,16.85,600,10,10.0,24.3,28.97,41.78,42.87
Wet-Waste-Biomass-Opt::pyrolysis::0014,train,47.58,6.13,0.52,45.73,85.53,13.32,1.15,16.85,700,10,10.0,23.6,29.56,41.4,43.82
Wet-Waste-Biomass-Opt::pyrolysis::0015,train,48.12,6.48,1.89,43.51,69.5,15.9,2.9,18.92,400,30,10.0,35.83,28.64,54.23,59.31
Wet-Waste-Biomass-Opt::pyrolysis::0016,test,48.12,6.48,1.89,43.51,69.5,15.9,2.9,18.92,500,30,10.0,22.62,28.38,33.93,39.15
Wet-Waste-Biomass-Opt::pyrolysis::0017,train,48.12,6.48,1.89,43.51,69.5,15.9,2.9,18.92,600,30,10.0,21.07,27.18,30.27,36.92
Wet-Waste-Biomass-Opt::pyrolysis::0018,validation,46.21,6.01,1.91,45.87,65.3,15.6,11.7,18.11,500,30,10.0,27.28,23.69,35.68,45.67
Wet-Waste-Biomass-Opt::pyrolysis::0019,train,48.37,4.98,0.38,46.27,70.4,18.5,1.2,19.46,500,30,10.0,22.33,30.47,34.96,40.44
Wet-Waste-Biomass-Opt::pyrolysis::0020,test,47.0,6.44,0.44,45.63,80.57,18.06,1.37,18.27,500,30,7.0,31.05,27.65,46.99,51.35
Wet-Waste-Biomass-Opt::pyrolysis::0021,train,46.8,6.45,0.47,45.74,80.06,18.1,1.83,18.17,500,30,7.0,30.53,27.57,46.33,51.18
Wet-Waste-Biomass-Opt::pyrolysis::0022,train,48.02,6.71,0.52,44.19,79.76,18.22,2.02,18.7,500,30,7.0,30.79,28.31,46.61,51.35
Wet-Waste-Biomass-Opt::pyrolysis::0023,train,47.03,6.45,0.53,45.46,80.59,17.03,1.21,18.29,500,30,7.0,30.26,28.45,47.08,51.63
Wet-Waste-Biomass-Opt::pyrolysis::0024,train,30.52,48.97,0.34,20.17,74.1,25.9,2.0,20.77,600,60,5.0,31.8,33.6,51.45,94.41
Wet-Waste-Biomass-Opt::pyrolysis::0025,train,26.77,46.89,0.45,25.89,85.3,14.7,4.4,17.91,600,60,5.0,27.7,30.1,46.56,91.68
Wet-Waste-Biomass-Opt::pyrolysis::0026,train,27.22,49.96,0.71,22.1,80.9,19.1,19.6,14.15,600,60,5.0,39.0,19.3,53.19,78.08
Wet-Waste-Biomass-Opt::pyrolysis::0027,test,31.21,44.14,1.02,23.63,77.2,22.8,0.6,20.6,600,60,5.0,28.2,33.7,46.13,84.85
Wet-Waste-Biomass-Opt::pyrolysis::0028,validation,28.63,48.57,0.92,21.88,85.9,14.1,7.9,16.74,600,60,5.0,30.3,26.5,47.98,79.69
