feedstock_name,blending_case,pathway_feedstock_scope,feedstock_group,manure_subtype,wet_waste_reference_group,blend_manure_ratio,blend_wet_waste_ratio,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,feedstock_hhv_mj_per_kg,sample_id,source_repo,source_file,source_dataset_kind,reference_label,pathway,pathway_variant,pathway_process_basis,pathway_performance_basis,pathway_environment_basis,pathway_cost_basis,pathway_claim_boundary,pathway_cost_proxy_base_factor,pathway_emission_factor_kgco2e_per_short_ton_reference,pathway_energy_intensity_mj_per_ton,process_temperature_c,residence_time_min,heating_rate_c_per_min,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct,unit_cost_usd_per_ton_biochar_reference_2040,total_cost_usd_per_ton_biochar_reference_2040,feedstock_cost_usd_per_ton_manure_reference_2040,region_id,region_name_x,country_x,analysis_reference_year_x,wet_waste_reference_stream_type_x,wet_waste_generation_ton_per_year_reference_x,wet_waste_collection_rate_pct_reference_x,wet_waste_collectable_ton_per_year_proxy_reference_x,wet_waste_source_bundle_x,wet_waste_pathway_relevance,wet_waste_reference_notes,region_name_y,country_y,analysis_reference_year_y,scenario_name,manure_supply_multiplier,wet_waste_supply_multiplier,energy_price_multiplier,emission_factor_multiplier,policy_multiplier,wet_waste_reference_stream_type_y,wet_waste_generation_ton_per_year_reference_y,wet_waste_collection_rate_pct_reference_y,wet_waste_collectable_ton_per_year_proxy_reference_y,scenario_wet_waste_generation_ton_per_year,scenario_wet_waste_collectable_ton_per_year_proxy,manure_generation_ton_per_year_reference,manure_collectable_ton_per_year_proxy_reference,scenario_manure_generation_ton_per_year,scenario_manure_collectable_ton_per_year_proxy,electricity_price_usd_per_kwh_reference,natural_gas_price_usd_per_mcf_reference,scenario_electricity_price_usd_per_kwh,scenario_natural_gas_price_usd_per_mcf,policy_effective_year_reference,policy_organic_waste_disposal_reduction_target_pct_reference,policy_edible_food_recovery_target_pct_reference,policy_procurement_target_ton_per_capita_reference,facility_capacity_data_status,facility_capacity_reporting_cycle_reference,facility_row_count_reference,facility_count_reference,facility_total_permitted_capacity_ton_per_year_reference,facility_total_available_capacity_ton_per_year_reference,organic_waste_recycling_capacity_needed_ton_per_year_reference,edible_food_recovery_capacity_available_ton_per_year_reference,edible_food_recovery_capacity_needed_ton_per_year_reference,organics_facility_inventory_status,organics_facility_count_reference,composting_facility_count_reference,anaerobic_digestion_facility_count_reference,moisture_pct_reference,organic_fraction_pct_reference,carbon_pct_reference,nitrogen_pct_reference,grid_electricity_emission_factor_kgco2e_per_kwh_reference,scenario_grid_electricity_emission_factor_kgco2e_per_kwh,baseline_waste_treatment_pathway_reference,baseline_waste_treatment_factor_unit_reference,baseline_waste_treatment_emission_factor_kgco2e_per_short_ton_reference,scenario_baseline_waste_treatment_emission_factor_kgco2e_per_short_ton,baseline_waste_treatment_source_method_reference,collection_rate_basis,wet_waste_source_bundle_y,wet_waste_reference_file,manure_reference_file,energy_reference_file,emission_reference_file,facility_capacity_reference_file,facility_inventory_reference_file,policy_reference_file,notes,optimization_case_id,scenario_wet_waste_feed_allocation_ton_per_year_proxy,optimization_region_source,optimization_wet_waste_source,optimization_energy_source,optimization_emission_source,pathway_emission_factor_kgco2e_per_short_ton_scenario_proxy,pathway_environment_benefit_kgco2e_per_ton
beef_manure_plus_food_waste,manure_dominant,mixed_manure_food_waste,mixed_manure_wet_waste,beef,food_waste,0.7,0.3,43.339,5.880999999999999,3.2889999999999997,33.108999999999995,74.3,74.798,11.927,13.889,,Waste2Energy::planning::baseline::0001,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,,us_ca,California,United States,2023,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,california_official_wet_waste_reference,food_waste_primary,"California food-waste generation reference built from CalRecycle countywide residential and business stream estimates, with composition medians from Wet-Waste-Biomass-Opt food-waste samples.",California,United States,2024,baseline_region_case,1.0,1.0,1.0,1.0,1.0,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,6936252.502993176,1419969.6260501985,141522.0,127742.7,141522.0,127742.7,0.2704,11.48,0.2704,11.48,2022.0,75.0,20.0,0.08,manual_export_processed,2025-2034,58,58,35777678.04,35271786.74,505891.3,15707840.85,20215.71,official_reference_connected,1314,370,21,89.0,91.9,45.95,2.68,0.17906420631253,0.17906420631253,california_weighted_food_waste_management_mix,kgCO2e_per_short_ton,329.9817049835864,329.9817049835864,california_weighted_mix,commercial_food_diversion_proxy_from_calrecycle,california_official_wet_waste_reference,data/processed/model_ready/california_food_waste_model_input.csv,data/raw/external-region-data/livestock_manure_statistics_template.csv,data/raw/external-region-data/regional_energy_prices_template.csv,data/raw/external-region-data/regional_emission_factors_template.csv,data/processed/scenario_inputs/california_capacity_planning_summary.csv,data/processed/scenario_inputs/california_organics_facility_summary.csv,data/raw/external-region-data/california/policy_reference/california_sb1383_policy_reference.csv,"California baseline case using official statewide food-waste, energy-price, and livestock references.",Waste2Energy::planning::baseline::0001::baseline_region_case,425990.8878150595,paper1_region_scenario_placeholder.csv,california_food_waste_model_input.csv,planning_pathway_candidate_layer,planning_pathway_candidate_layer,329.9817049835864,0.0
beef_manure_plus_food_waste,manure_dominant,mixed_manure_food_waste,mixed_manure_wet_waste,beef,food_waste,0.7,0.3,43.339,5.880999999999999,3.2889999999999997,33.108999999999995,74.3,74.798,11.927,13.889,,Waste2Energy::planning::baseline::0001,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,,us_ca,California,United States,2023,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,california_official_wet_waste_reference,food_waste_primary,"California food-waste generation reference built from CalRecycle countywide residential and business stream estimates, with composition medians from Wet-Waste-Biomass-Opt food-waste samples.",California,United States,2024,high_supply_case,1.1,1.1,1.0,1.0,1.0,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,7629877.753292493,1561966.5886552185,141522.0,127742.7,155674.2,140516.97,0.2704,11.48,0.2704,11.48,2022.0,75.0,20.0,0.08,manual_export_processed,2025-2034,58,58,35777678.04,35271786.74,505891.3,15707840.85,20215.71,official_reference_connected,1314,370,21,89.0,91.9,45.95,2.68,0.17906420631253,0.17906420631253,california_weighted_food_waste_management_mix,kgCO2e_per_short_ton,329.9817049835864,329.9817049835864,california_weighted_mix,commercial_food_diversion_proxy_from_calrecycle,california_official_wet_waste_reference,data/processed/model_ready/california_food_waste_model_input.csv,data/raw/external-region-data/livestock_manure_statistics_template.csv,data/raw/external-region-data/regional_energy_prices_template.csv,data/raw/external-region-data/regional_emission_factors_template.csv,data/processed/scenario_inputs/california_capacity_planning_summary.csv,data/processed/scenario_inputs/california_organics_facility_summary.csv,data/raw/external-region-data/california/policy_reference/california_sb1383_policy_reference.csv,California supply-expansion sensitivity around official food-waste and manure baselines.,Waste2Energy::planning::baseline::0001::high_supply_case,468589.9765965655,paper1_region_scenario_placeholder.csv,california_food_waste_model_input.csv,planning_pathway_candidate_layer,planning_pathway_candidate_layer,329.9817049835864,0.0
beef_manure_plus_food_waste,manure_dominant,mixed_manure_food_waste,mixed_manure_wet_waste,beef,food_waste,0.7,0.3,43.339,5.880999999999999,3.2889999999999997,33.108999999999995,74.3,74.798,11.927,13.889,,Waste2Energy::planning::baseline::0001,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,,us_ca,California,United States,2023,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,california_official_wet_waste_reference,food_waste_primary,"California food-waste generation reference built from CalRecycle countywide residential and business stream estimates, with composition medians from Wet-Waste-Biomass-Opt food-waste samples.",California,United States,2024,policy_support_case,1.0,1.0,1.0,1.0,1.2,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,6936252.502993176,1419969.6260501985,141522.0,127742.7,141522.0,127742.7,0.2704,11.48,0.2704,11.48,2022.0,75.0,20.0,0.08,manual_export_processed,2025-2034,58,58,35777678.04,35271786.74,505891.3,15707840.85,20215.71,official_reference_connected,1314,370,21,89.0,91.9,45.95,2.68,0.17906420631253,0.17906420631253,california_weighted_food_waste_management_mix,kgCO2e_per_short_ton,329.9817049835864,329.9817049835864,california_weighted_mix,commercial_food_diversion_proxy_from_calrecycle,california_official_wet_waste_reference,data/processed/model_ready/california_food_waste_model_input.csv,data/raw/external-region-data/livestock_manure_statistics_template.csv,data/raw/external-region-data/regional_energy_prices_template.csv,data/raw/external-region-data/regional_emission_factors_template.csv,data/processed/scenario_inputs/california_capacity_planning_summary.csv,data/processed/scenario_inputs/california_organics_facility_summary.csv,data/raw/external-region-data/california/policy_reference/california_sb1383_policy_reference.csv,"California policy-support sensitivity anchored to official waste, energy, and livestock baselines.",Waste2Energy::planning::baseline::0001::policy_support_case,425990.8878150595,paper1_region_scenario_placeholder.csv,california_food_waste_model_input.csv,planning_pathway_candidate_layer,planning_pathway_candidate_layer,329.9817049835864,0.0
beef_manure_plus_food_waste,balanced_mixed_feed,mixed_manure_food_waste,mixed_manure_wet_waste,beef,food_waste,0.5,0.5,44.085,6.074999999999999,3.115,34.095,78.5,76.03,12.765,12.235,,Waste2Energy::planning::baseline::0002,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,,us_ca,California,United States,2023,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,california_official_wet_waste_reference,food_waste_primary,"California food-waste generation reference built from CalRecycle countywide residential and business stream estimates, with composition medians from Wet-Waste-Biomass-Opt food-waste samples.",California,United States,2024,baseline_region_case,1.0,1.0,1.0,1.0,1.0,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,6936252.502993176,1419969.6260501985,141522.0,127742.7,141522.0,127742.7,0.2704,11.48,0.2704,11.48,2022.0,75.0,20.0,0.08,manual_export_processed,2025-2034,58,58,35777678.04,35271786.74,505891.3,15707840.85,20215.71,official_reference_connected,1314,370,21,89.0,91.9,45.95,2.68,0.17906420631253,0.17906420631253,california_weighted_food_waste_management_mix,kgCO2e_per_short_ton,329.9817049835864,329.9817049835864,california_weighted_mix,commercial_food_diversion_proxy_from_calrecycle,california_official_wet_waste_reference,data/processed/model_ready/california_food_waste_model_input.csv,data/raw/external-region-data/livestock_manure_statistics_template.csv,data/raw/external-region-data/regional_energy_prices_template.csv,data/raw/external-region-data/regional_emission_factors_template.csv,data/processed/scenario_inputs/california_capacity_planning_summary.csv,data/processed/scenario_inputs/california_organics_facility_summary.csv,data/raw/external-region-data/california/policy_reference/california_sb1383_policy_reference.csv,"California baseline case using official statewide food-waste, energy-price, and livestock references.",Waste2Energy::planning::baseline::0002::baseline_region_case,709984.8130250992,paper1_region_scenario_placeholder.csv,california_food_waste_model_input.csv,planning_pathway_candidate_layer,planning_pathway_candidate_layer,329.9817049835864,0.0
beef_manure_plus_food_waste,balanced_mixed_feed,mixed_manure_food_waste,mixed_manure_wet_waste,beef,food_waste,0.5,0.5,44.085,6.074999999999999,3.115,34.095,78.5,76.03,12.765,12.235,,Waste2Energy::planning::baseline::0002,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,,us_ca,California,United States,2023,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,california_official_wet_waste_reference,food_waste_primary,"California food-waste generation reference built from CalRecycle countywide residential and business stream estimates, with composition medians from Wet-Waste-Biomass-Opt food-waste samples.",California,United States,2024,high_supply_case,1.1,1.1,1.0,1.0,1.0,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,7629877.753292493,1561966.5886552185,141522.0,127742.7,155674.2,140516.97,0.2704,11.48,0.2704,11.48,2022.0,75.0,20.0,0.08,manual_export_processed,2025-2034,58,58,35777678.04,35271786.74,505891.3,15707840.85,20215.71,official_reference_connected,1314,370,21,89.0,91.9,45.95,2.68,0.17906420631253,0.17906420631253,california_weighted_food_waste_management_mix,kgCO2e_per_short_ton,329.9817049835864,329.9817049835864,california_weighted_mix,commercial_food_diversion_proxy_from_calrecycle,california_official_wet_waste_reference,data/processed/model_ready/california_food_waste_model_input.csv,data/raw/external-region-data/livestock_manure_statistics_template.csv,data/raw/external-region-data/regional_energy_prices_template.csv,data/raw/external-region-data/regional_emission_factors_template.csv,data/processed/scenario_inputs/california_capacity_planning_summary.csv,data/processed/scenario_inputs/california_organics_facility_summary.csv,data/raw/external-region-data/california/policy_reference/california_sb1383_policy_reference.csv,California supply-expansion sensitivity around official food-waste and manure baselines.,Waste2Energy::planning::baseline::0002::high_supply_case,780983.2943276092,paper1_region_scenario_placeholder.csv,california_food_waste_model_input.csv,planning_pathway_candidate_layer,planning_pathway_candidate_layer,329.9817049835864,0.0
beef_manure_plus_food_waste,balanced_mixed_feed,mixed_manure_food_waste,mixed_manure_wet_waste,beef,food_waste,0.5,0.5,44.085,6.074999999999999,3.115,34.095,78.5,76.03,12.765,12.235,,Waste2Energy::planning::baseline::0002,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,,us_ca,California,United States,2023,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,california_official_wet_waste_reference,food_waste_primary,"California food-waste generation reference built from CalRecycle countywide residential and business stream estimates, with composition medians from Wet-Waste-Biomass-Opt food-waste samples.",California,United States,2024,policy_support_case,1.0,1.0,1.0,1.0,1.2,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,6936252.502993176,1419969.6260501985,141522.0,127742.7,141522.0,127742.7,0.2704,11.48,0.2704,11.48,2022.0,75.0,20.0,0.08,manual_export_processed,2025-2034,58,58,35777678.04,35271786.74,505891.3,15707840.85,20215.71,official_reference_connected,1314,370,21,89.0,91.9,45.95,2.68,0.17906420631253,0.17906420631253,california_weighted_food_waste_management_mix,kgCO2e_per_short_ton,329.9817049835864,329.9817049835864,california_weighted_mix,commercial_food_diversion_proxy_from_calrecycle,california_official_wet_waste_reference,data/processed/model_ready/california_food_waste_model_input.csv,data/raw/external-region-data/livestock_manure_statistics_template.csv,data/raw/external-region-data/regional_energy_prices_template.csv,data/raw/external-region-data/regional_emission_factors_template.csv,data/processed/scenario_inputs/california_capacity_planning_summary.csv,data/processed/scenario_inputs/california_organics_facility_summary.csv,data/raw/external-region-data/california/policy_reference/california_sb1383_policy_reference.csv,"California policy-support sensitivity anchored to official waste, energy, and livestock baselines.",Waste2Energy::planning::baseline::0002::policy_support_case,709984.8130250992,paper1_region_scenario_placeholder.csv,california_food_waste_model_input.csv,planning_pathway_candidate_layer,planning_pathway_candidate_layer,329.9817049835864,0.0
beef_manure_plus_food_waste,wet_waste_enhanced,mixed_manure_food_waste,mixed_manure_wet_waste,beef,food_waste,0.3,0.7,44.830999999999996,6.268999999999999,2.941,35.080999999999996,82.69999999999999,77.262,13.603,10.581,,Waste2Energy::planning::baseline::0003,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,,us_ca,California,United States,2023,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,california_official_wet_waste_reference,food_waste_primary,"California food-waste generation reference built from CalRecycle countywide residential and business stream estimates, with composition medians from Wet-Waste-Biomass-Opt food-waste samples.",California,United States,2024,baseline_region_case,1.0,1.0,1.0,1.0,1.0,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,6936252.502993176,1419969.6260501985,141522.0,127742.7,141522.0,127742.7,0.2704,11.48,0.2704,11.48,2022.0,75.0,20.0,0.08,manual_export_processed,2025-2034,58,58,35777678.04,35271786.74,505891.3,15707840.85,20215.71,official_reference_connected,1314,370,21,89.0,91.9,45.95,2.68,0.17906420631253,0.17906420631253,california_weighted_food_waste_management_mix,kgCO2e_per_short_ton,329.9817049835864,329.9817049835864,california_weighted_mix,commercial_food_diversion_proxy_from_calrecycle,california_official_wet_waste_reference,data/processed/model_ready/california_food_waste_model_input.csv,data/raw/external-region-data/livestock_manure_statistics_template.csv,data/raw/external-region-data/regional_energy_prices_template.csv,data/raw/external-region-data/regional_emission_factors_template.csv,data/processed/scenario_inputs/california_capacity_planning_summary.csv,data/processed/scenario_inputs/california_organics_facility_summary.csv,data/raw/external-region-data/california/policy_reference/california_sb1383_policy_reference.csv,"California baseline case using official statewide food-waste, energy-price, and livestock references.",Waste2Energy::planning::baseline::0003::baseline_region_case,993978.7382351388,paper1_region_scenario_placeholder.csv,california_food_waste_model_input.csv,planning_pathway_candidate_layer,planning_pathway_candidate_layer,329.9817049835864,0.0
beef_manure_plus_food_waste,wet_waste_enhanced,mixed_manure_food_waste,mixed_manure_wet_waste,beef,food_waste,0.3,0.7,44.830999999999996,6.268999999999999,2.941,35.080999999999996,82.69999999999999,77.262,13.603,10.581,,Waste2Energy::planning::baseline::0003,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,,us_ca,California,United States,2023,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,california_official_wet_waste_reference,food_waste_primary,"California food-waste generation reference built from CalRecycle countywide residential and business stream estimates, with composition medians from Wet-Waste-Biomass-Opt food-waste samples.",California,United States,2024,high_supply_case,1.1,1.1,1.0,1.0,1.0,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,7629877.753292493,1561966.5886552185,141522.0,127742.7,155674.2,140516.97,0.2704,11.48,0.2704,11.48,2022.0,75.0,20.0,0.08,manual_export_processed,2025-2034,58,58,35777678.04,35271786.74,505891.3,15707840.85,20215.71,official_reference_connected,1314,370,21,89.0,91.9,45.95,2.68,0.17906420631253,0.17906420631253,california_weighted_food_waste_management_mix,kgCO2e_per_short_ton,329.9817049835864,329.9817049835864,california_weighted_mix,commercial_food_diversion_proxy_from_calrecycle,california_official_wet_waste_reference,data/processed/model_ready/california_food_waste_model_input.csv,data/raw/external-region-data/livestock_manure_statistics_template.csv,data/raw/external-region-data/regional_energy_prices_template.csv,data/raw/external-region-data/regional_emission_factors_template.csv,data/processed/scenario_inputs/california_capacity_planning_summary.csv,data/processed/scenario_inputs/california_organics_facility_summary.csv,data/raw/external-region-data/california/policy_reference/california_sb1383_policy_reference.csv,California supply-expansion sensitivity around official food-waste and manure baselines.,Waste2Energy::planning::baseline::0003::high_supply_case,1093376.6120586528,paper1_region_scenario_placeholder.csv,california_food_waste_model_input.csv,planning_pathway_candidate_layer,planning_pathway_candidate_layer,329.9817049835864,0.0
beef_manure_plus_food_waste,wet_waste_enhanced,mixed_manure_food_waste,mixed_manure_wet_waste,beef,food_waste,0.3,0.7,44.830999999999996,6.268999999999999,2.941,35.080999999999996,82.69999999999999,77.262,13.603,10.581,,Waste2Energy::planning::baseline::0003,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,,us_ca,California,United States,2023,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,california_official_wet_waste_reference,food_waste_primary,"California food-waste generation reference built from CalRecycle countywide residential and business stream estimates, with composition medians from Wet-Waste-Biomass-Opt food-waste samples.",California,United States,2024,policy_support_case,1.0,1.0,1.0,1.0,1.2,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,6936252.502993176,1419969.6260501985,141522.0,127742.7,141522.0,127742.7,0.2704,11.48,0.2704,11.48,2022.0,75.0,20.0,0.08,manual_export_processed,2025-2034,58,58,35777678.04,35271786.74,505891.3,15707840.85,20215.71,official_reference_connected,1314,370,21,89.0,91.9,45.95,2.68,0.17906420631253,0.17906420631253,california_weighted_food_waste_management_mix,kgCO2e_per_short_ton,329.9817049835864,329.9817049835864,california_weighted_mix,commercial_food_diversion_proxy_from_calrecycle,california_official_wet_waste_reference,data/processed/model_ready/california_food_waste_model_input.csv,data/raw/external-region-data/livestock_manure_statistics_template.csv,data/raw/external-region-data/regional_energy_prices_template.csv,data/raw/external-region-data/regional_emission_factors_template.csv,data/processed/scenario_inputs/california_capacity_planning_summary.csv,data/processed/scenario_inputs/california_organics_facility_summary.csv,data/raw/external-region-data/california/policy_reference/california_sb1383_policy_reference.csv,"California policy-support sensitivity anchored to official waste, energy, and livestock baselines.",Waste2Energy::planning::baseline::0003::policy_support_case,993978.7382351388,paper1_region_scenario_placeholder.csv,california_food_waste_model_input.csv,planning_pathway_candidate_layer,planning_pathway_candidate_layer,329.9817049835864,0.0
dairy_manure_plus_food_waste,manure_dominant,mixed_manure_food_waste,mixed_manure_wet_waste,dairy,food_waste,0.7,0.3,43.339,5.880999999999999,3.2889999999999997,33.108999999999995,77.1,74.798,11.927,13.889,,Waste2Energy::planning::baseline::0004,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,,us_ca,California,United States,2023,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,california_official_wet_waste_reference,food_waste_primary,"California food-waste generation reference built from CalRecycle countywide residential and business stream estimates, with composition medians from Wet-Waste-Biomass-Opt food-waste samples.",California,United States,2024,baseline_region_case,1.0,1.0,1.0,1.0,1.0,food_waste,6936252.502993176,20.471711856473565,1419969.6260501985,6936252.502993176,1419969.6260501985,141522.0,127742.7,141522.0,127742.7,0.2704,11.48,0.2704,11.48,2022.0,75.0,20.0,0.08,manual_export_processed,2025-2034,58,58,35777678.04,35271786.74,505891.3,15707840.85,20215.71,official_reference_connected,1314,370,21,89.0,91.9,45.95,2.68,0.17906420631253,0.17906420631253,california_weighted_food_waste_management_mix,kgCO2e_per_short_ton,329.9817049835864,329.9817049835864,california_weighted_mix,commercial_food_diversion_proxy_from_calrecycle,california_official_wet_waste_reference,data/processed/model_ready/california_food_waste_model_input.csv,data/raw/external-region-data/livestock_manure_statistics_template.csv,data/raw/external-region-data/regional_energy_prices_template.csv,data/raw/external-region-data/regional_emission_factors_template.csv,data/processed/scenario_inputs/california_capacity_planning_summary.csv,data/processed/scenario_inputs/california_organics_facility_summary.csv,data/raw/external-region-data/california/policy_reference/california_sb1383_policy_reference.csv,"California baseline case using official statewide food-waste, energy-price, and livestock references.",Waste2Energy::planning::baseline::0004::baseline_region_case,425990.8878150595,paper1_region_scenario_placeholder.csv,california_food_waste_model_input.csv,planning_pathway_candidate_layer,planning_pathway_candidate_layer,329.9817049835864,0.0
