sample_id,dataset_scope,data_tier,row_origin,recommended_split,recommended_sample_weight,recommended_ml_use,source_repo,source_file,source_dataset_kind,reference_label,pathway,feedstock_name,feedstock_group,manure_subtype,blend_manure_ratio,blend_wet_waste_ratio,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,process_temperature_c,residence_time_min,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct
Wet-Waste-Biomass-Opt::htc::0001,paper1_htc_scope,observed_single_feed,observed,validation,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Su et al., 2021)",htc,Food waste,food_waste,,0.0,1.0,44.06,6.25,4.2,32.18,90.1,80.3,5.1,13.01,210.0,30.0,45.4,21.13,50.07,48.35
Wet-Waste-Biomass-Opt::htc::0002,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Su et al., 2021)",htc,Food waste,food_waste,,0.0,1.0,44.06,6.25,4.2,32.18,90.1,80.3,5.1,13.01,240.0,30.0,37.5,21.24,41.57,40.01
Wet-Waste-Biomass-Opt::htc::0003,paper1_htc_scope,observed_single_feed,observed,test,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Su et al., 2021)",htc,Food waste,food_waste,,0.0,1.0,44.06,6.25,4.2,32.18,90.1,80.3,5.1,13.01,270.0,30.0,36.4,20.97,39.84,38.93
Wet-Waste-Biomass-Opt::htc::0004,paper1_htc_scope,observed_single_feed,observed,test,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Su et al., 2021)",htc,Food waste,food_waste,,0.0,1.0,44.06,6.25,4.2,32.18,90.1,80.3,5.1,13.01,270.0,60.0,34.8,22.32,40.54,38.83
Wet-Waste-Biomass-Opt::htc::0005,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Su et al., 2021)",htc,Food waste,food_waste,,0.0,1.0,44.06,6.25,4.2,32.18,90.1,80.3,5.1,13.01,270.0,90.0,34.3,24.07,43.09,40.34
Wet-Waste-Biomass-Opt::htc::0099,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(McGaughy and Toufiq Reza, 2018)",htc,Food waste,food_waste,,0.0,1.0,53.86,3.02,7.55,17.17,90.25,78.62,2.98,18.4,200.0,30.0,75.0,25.18,97.03,90.4
Wet-Waste-Biomass-Opt::htc::0100,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(McGaughy and Toufiq Reza, 2018)",htc,Food waste,food_waste,,0.0,1.0,53.86,3.02,7.55,17.17,90.25,78.62,2.98,18.4,230.0,30.0,74.5,27.24,104.28,94.75
Wet-Waste-Biomass-Opt::htc::0101,paper1_htc_scope,observed_single_feed,observed,validation,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(McGaughy and Toufiq Reza, 2018)",htc,Food waste,food_waste,,0.0,1.0,53.86,3.02,7.55,17.17,90.25,78.62,2.98,18.4,260.0,30.0,68.5,28.6,100.67,89.7
Wet-Waste-Biomass-Opt::htc::0102,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhang et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,43.53,6.2,1.23,47.49,92.0,83.64,14.81,1.55,190.0,15.0,36.0,23.36,55.7,51.65
Wet-Waste-Biomass-Opt::htc::0103,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhang et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,43.53,6.2,1.23,47.49,92.0,83.64,14.81,1.55,225.0,15.0,36.0,24.07,57.38,53.09
