county_id,county_name,countywide_local_government_id,countywide_local_government_name,household_population_wcs,multi_family_units_wcs,calrecycle_region_name,residential_food_tons_total,residential_food_fraction_total,residential_food_tons_single_family,residential_food_tons_multi_family,residential_other_organic_tons_total,commercial_food_tons_total_generation,commercial_food_tons_disposed,commercial_food_tons_curbside_organics,commercial_food_tons_other_diversion,acs5_population_2023,county_fips,single_family_units_wcs,total_food_waste_tons_reference,total_other_organic_tons_reference,total_wet_waste_proxy_tons_reference
1,Alameda,1001,Alameda (Countywide),1588787,160357.91000980008,Alameda (Countywide),109001.04160842285,0.26904087173835634,79627.35144514203,29373.690163280815,12322.820458536731,203670.52873885582,161027.69809598333,9070.963219017189,31096.38586718106,,,,312671.57034727867,12322.820458536731,324994.3908058154
2,Alpine,1002,Alpine (Countywide),1142,184.38976377952756,Alpine (Countywide),72.46429285926843,0.2488348736385801,38.688548399831554,33.775744459436865,10.877799226769575,83.77894033075387,75.83806718807604,2.9013335932574096,2.77261204509039,,,,156.2432331900223,10.877799226769575,167.12103241679188
3,Amador,1003,Amador (Countywide),34508,1713.0711604448632,Amador (Countywide),2195.6831032468826,0.24951873586795847,1881.8899046981855,313.7931985486972,327.12697329958854,2996.531044424249,2082.8062021920273,124.46441334246173,759.4660568514425,,,,5192.214147671131,327.12697329958854,5519.34112097072
4,Butte,1004,Butte (Countywide),219144,22486.37302591389,Butte (Countywide),14171.739133513638,0.2535986025356893,10052.779525479438,4118.959608034201,2682.1637884922857,26118.4746768051,20584.847268993664,1223.3105878451108,3970.588913958111,,,,40290.21381031874,2682.1637884922857,42972.37759881103
5,Calaveras,1005,Calaveras (Countywide),44708,1795.4896957051903,Calaveras (Countywide),2845.3522408828967,0.24957672782309862,2516.461960323712,328.8902805591845,423.6479438843613,2883.2229311614997,2081.803598140941,133.10106431126025,634.2168607727707,,,,5728.575172044397,423.6479438843613,6152.2231159287585
6,Colusa,1006,Colusa (Countywide),21688,1121.6914412112187,Colusa (Countywide),1409.3709205719326,0.2548350103150526,1203.904181507245,205.4667390646876,277.47171295723035,3202.1172117682586,2015.576112938109,85.21837939016345,1077.9117681112273,,,,4611.488132340191,277.47171295723035,4888.959845297421
7,Contra Costa,1007,Contra Costa (Countywide),1112809,73199.15113247435,Contra Costa (Countywide),77218.086389668,0.2721145075461116,63809.772540671926,13408.313848996062,8335.401547596932,103217.61980631715,81112.20942871677,5208.8611184524925,15686.982205047527,,,,180435.70619598514,8335.401547596932,188771.10774358208
8,Del Norte,1008,Del Norte (Countywide),23947,2874.4048531679136,Del Norte (Countywide),1498.1324177962276,0.2453309714801861,971.6109786254065,526.5214391708212,210.27311370553946,2428.707907911731,1951.006512884842,70.1653293739323,368.7695355751691,,,,3926.840325707959,210.27311370553946,4137.113439413499
9,El Dorado,1009,El Dorado (Countywide),182073,7343.7053487307185,El Dorado (Countywide),11587.626737714627,0.24957566683208893,10242.437557144356,1345.1891805702708,1725.3159702837272,16679.744004403954,12905.976400597327,801.0689258463424,2806.497767846862,,,,28267.370742118583,1725.3159702837272,29992.68671240231
10,Fresno,1010,Fresno (Countywide),967164,60630.21933510886,Fresno (Countywide),62784.365572907394,0.2545685087200427,51678.37599514098,11105.989577766415,12258.09473922963,110949.59819669876,79672.8357626228,4486.855570734402,25670.845054565092,,,,173733.96376960614,12258.09473922963,185992.05850883576
