source_repo,source_file,source_dataset_kind,livestock_type,constant_name,value,units,notes
ManurePyrolysisIAM,pyrolysis_energy_balance.xlsx,energy_balance_reference,swine,Initial Moisture Content,0.76,%,"Based on the process flow, mass balance, and energy balance diagram from: Zhou, A., Wang, X., Yu, S., Deng, S., Tan, H. and Mikulčić, H., 2023. Process design and optimization on self-sustaining pyrolysis and carbonization of municipal sewage sludge. Waste Management, 159, pp.125-133."
ManurePyrolysisIAM,pyrolysis_energy_balance.xlsx,energy_balance_reference,swine,Moisture Content After Drying,0.06,%,76% moisture content of feedstock results in a balanced system
ManurePyrolysisIAM,pyrolysis_energy_balance.xlsx,energy_balance_reference,swine,enthalpy of steam,2.676,MJ/kg,
ManurePyrolysisIAM,pyrolysis_energy_balance.xlsx,energy_balance_reference,swine,heat exchange efficiency,0.9,%,
ManurePyrolysisIAM,pyrolysis_energy_balance.xlsx,energy_balance_reference,swine,drying of sludge as percentage of water evaporation,1.063,%,As a simplification of the Aspen Simulation
ManurePyrolysisIAM,pyrolysis_energy_balance.xlsx,energy_balance_reference,swine,energy of dry sludge as percentage of wet sludge,1.0133292677614671,%,As a simplification of the Aspen Simulation
ManurePyrolysisIAM,pyrolysis_energy_balance.xlsx,energy_balance_reference,swine,energy in biochar as a percentage of calorific value of biochar,1.0309831880996392,%,
ManurePyrolysisIAM,pyrolysis_energy_balance.xlsx,energy_balance_reference,swine,energy lost in pyrolysis as a percentage of input energy,0.021536345269311783,%,
ManurePyrolysisIAM,pyrolysis_energy_balance.xlsx,energy_balance_reference,swine,,,,
ManurePyrolysisIAM,pyrolysis_energy_balance.xlsx,energy_balance_reference,swine,Inputs,,Units,
ManurePyrolysisIAM,pyrolysis_energy_balance.xlsx,energy_balance_reference,swine,input manure,0.005,kg,"calorific value derived from equation  0.4047C − 0.0043L (C = Carbon%wt, L=Lignin%wt)"
