feedstock_name,blending_case,pathway_feedstock_scope,feedstock_group,manure_subtype,wet_waste_reference_group,blend_manure_ratio,blend_wet_waste_ratio,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,feedstock_hhv_mj_per_kg,sample_id,source_repo,source_file,source_dataset_kind,reference_label,pathway,pathway_variant,pathway_process_basis,pathway_performance_basis,pathway_environment_basis,pathway_cost_basis,pathway_claim_boundary,pathway_cost_proxy_base_factor,pathway_emission_factor_kgco2e_per_short_ton_reference,pathway_energy_intensity_mj_per_ton,process_temperature_c,residence_time_min,heating_rate_c_per_min,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct,unit_cost_usd_per_ton_biochar_reference_2040,total_cost_usd_per_ton_biochar_reference_2040,feedstock_cost_usd_per_ton_manure_reference_2040
beef_manure_plus_food_waste,manure_dominant,mixed_manure_food_waste,mixed_manure_wet_waste,beef,food_waste,0.7,0.3,43.339,5.880999999999999,3.2889999999999997,33.108999999999995,74.3,74.798,11.927,13.889,,Waste2Energy::planning::baseline::0001,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,
beef_manure_plus_food_waste,balanced_mixed_feed,mixed_manure_food_waste,mixed_manure_wet_waste,beef,food_waste,0.5,0.5,44.085,6.074999999999999,3.115,34.095,78.5,76.03,12.765,12.235,,Waste2Energy::planning::baseline::0002,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,
beef_manure_plus_food_waste,wet_waste_enhanced,mixed_manure_food_waste,mixed_manure_wet_waste,beef,food_waste,0.3,0.7,44.830999999999996,6.268999999999999,2.941,35.080999999999996,82.69999999999999,77.262,13.603,10.581,,Waste2Energy::planning::baseline::0003,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,
dairy_manure_plus_food_waste,manure_dominant,mixed_manure_food_waste,mixed_manure_wet_waste,dairy,food_waste,0.7,0.3,43.339,5.880999999999999,3.2889999999999997,33.108999999999995,77.1,74.798,11.927,13.889,,Waste2Energy::planning::baseline::0004,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,
dairy_manure_plus_food_waste,balanced_mixed_feed,mixed_manure_food_waste,mixed_manure_wet_waste,dairy,food_waste,0.5,0.5,44.085,6.074999999999999,3.115,34.095,80.5,76.03,12.765,12.235,,Waste2Energy::planning::baseline::0005,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,
dairy_manure_plus_food_waste,wet_waste_enhanced,mixed_manure_food_waste,mixed_manure_wet_waste,dairy,food_waste,0.3,0.7,44.830999999999996,6.268999999999999,2.941,35.080999999999996,83.89999999999999,77.262,13.603,10.581,,Waste2Energy::planning::baseline::0006,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,
goat_manure_plus_food_waste,manure_dominant,mixed_manure_food_waste,mixed_manure_wet_waste,goat,food_waste,0.7,0.3,43.339,5.880999999999999,3.2889999999999997,33.108999999999995,80.6,74.798,11.927,13.889,,Waste2Energy::planning::baseline::0007,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,
goat_manure_plus_food_waste,balanced_mixed_feed,mixed_manure_food_waste,mixed_manure_wet_waste,goat,food_waste,0.5,0.5,44.085,6.074999999999999,3.115,34.095,83.0,76.03,12.765,12.235,,Waste2Energy::planning::baseline::0008,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,
goat_manure_plus_food_waste,wet_waste_enhanced,mixed_manure_food_waste,mixed_manure_wet_waste,goat,food_waste,0.3,0.7,44.830999999999996,6.268999999999999,2.941,35.080999999999996,85.39999999999999,77.262,13.603,10.581,,Waste2Energy::planning::baseline::0009,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,
poultry_manure_plus_food_waste,manure_dominant,mixed_manure_food_waste,mixed_manure_wet_waste,poultry,food_waste,0.7,0.3,43.339,5.880999999999999,3.2889999999999997,33.108999999999995,77.8,74.798,11.927,13.889,,Waste2Energy::planning::baseline::0010,CaliforniaRegionData; EPA_WARM,california_food_waste_treatment_mix_reference.csv; paper1_region_scenario_placeholder.csv,regional_baseline_anchor_candidate,california_weighted_food_waste_management_mix,baseline,california_weighted_management_mix,regional_weighted_management_mix_proxy,california_weighted_energy_proxy_from_landfill_lfg_and_ad_share,zero_improvement_anchor_vs_current_california_weighted_mix,relative_pathway_proxy_index_only,"Baseline rows are planning anchors for comparison and optimization accounting, not generalizable process-performance evidence.",0.35,329.9817049835864,1008.0686989229276,0.0,0.0,,0.0,0.0,0.0,0.0,,,
