sample_id,source_repo,source_file,source_dataset_kind,pathway,feedstock_name,feedstock_group,blending_case,blend_manure_ratio,blend_wet_waste_ratio,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,feedstock_hhv_mj_per_kg,process_temperature_c,residence_time_min,heating_rate_c_per_min,product_char_yield_pct,product_char_carbon_pct,product_char_hydrogen_pct,product_char_nitrogen_pct,product_char_oxygen_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct,reference_label,source_extra_value_1,source_extra_value_2,source_extra_value_3
Wet-Waste-Biomass-Opt::pyrolysis::0001,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,52.05,5.37,0.49,42.1,,73.5,13.2,8.6,21.2,500,60,10.0,35.26,79.4,3.18,0.82,16.61,28.85,47.99,53.79,"(Abnisa et al., 2013a)",0.480604534,0.156895466,0.008852105
Wet-Waste-Biomass-Opt::pyrolysis::0002,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,43.06,5.98,0.55,50.42,,79.4,10.8,2.9,16.44,500,60,10.0,29.05,64.93,2.55,1.12,31.14,21.34,37.72,43.8,"(Abnisa et al., 2013a)",0.47127676,0.359695056,0.014785153
Wet-Waste-Biomass-Opt::pyrolysis::0003,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,45.03,6.15,0.94,47.89,,78.0,7.6,5.8,17.4,500,60,10.0,29.8,67.7,2.43,0.65,29.23,29.06,49.76,44.8,"(Abnisa et al., 2013a)",0.430723781,0.323818316,0.008229584
Wet-Waste-Biomass-Opt::pyrolysis::0004,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,42.72,5.61,0.44,51.24,,82.6,4.97,5.27,16.38,500,60,10.0,33.6,63.68,2.28,0.63,33.43,18.79,38.54,50.09,"(Abnisa et al., 2013b)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0005,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,42.76,5.99,0.39,50.88,,82.7,3.22,0.24,16.27,500,60,10.0,30.24,65.33,2.56,0.75,31.37,20.12,37.4,46.2,"(Abnisa et al., 2013b)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0006,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,47.58,6.13,0.52,45.73,,85.53,13.32,1.15,16.85,700,10,5.0,29.92,88.12,1.17,1.03,9.54,28.02,49.76,55.41,"(Chen et al., 2014)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0007,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,47.58,6.13,0.52,45.73,,85.53,13.32,1.15,16.85,700,10,10.0,21.98,89.71,1.19,1.05,7.91,28.25,36.86,41.45,"(Chen et al., 2014)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0008,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,47.58,6.13,0.52,45.73,,85.53,13.32,1.15,16.85,700,10,20.0,20.08,87.23,1.13,1.16,10.34,27.76,33.08,36.81,"(Chen et al., 2014)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0009,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,47.58,6.13,0.52,45.73,,85.53,13.32,1.15,16.85,700,10,30.0,18.17,85.94,0.87,1.21,11.86,27.29,29.44,32.83,"(Chen et al., 2014)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0010,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,47.58,6.13,0.52,45.73,,85.53,13.32,1.15,16.85,300,10,10.0,49.3,68.56,3.85,0.92,26.54,25.43,74.4,71.04,"(Chen et al., 2015)",,,
