,2025_supply,2030_supply,2035_supply,2040_supply,2045_supply,2050_supply,2025_price,2030_price,2035_price,2040_price,2045_price,2050_price,product_price,GCAM,Units_supply,Units_price,colors
123,,0.20386520000000002,0.42952433333333334,0.815034,5.728836666666667,6.8991266666666675,,212.00050909090905,193.72379999999995,177.02421818181816,162.7357445454545,217.3491,BECCS,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
125,0.22868743333333336,0.3455903,0.8524780000000001,2.0680916666666667,1.0259516666666668,3.587635333333334,371.7378818181818,357.79827272727266,334.15300909090905,309.78739090909085,288.7107818181818,270.2843454545454,DAC,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
127,0.020300536666666667,0.059844400000000006,0.17743623333333336,0.426877,2.6239950000000003,8.24703,270.7684636363636,253.18216363636358,236.33119090909085,219.61164545454542,211.11379090909088,204.7969636363636,OEW,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
129,,0.022522610000000002,0.0925914,0.29243060000000004,2.4951740000000004,7.14714,,325.53537272727266,272.5036363636363,231.26708181818177,214.68728181818176,214.8054,TEW,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
131,,0.07834456666666667,0.17531983333333337,0.3504559666666667,1.4154396666666669,1.7246643333333334,,212.00050909090905,193.72379999999995,177.02421818181816,204.12319090909088,262.7447454545454,BECCS,AK,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
133,,,,0.04505050000000001,0.09566480000000001,0.23584660000000002,,,,530.7598909090908,501.1138909090908,509.98772727272717,DAC,AK,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
135,,,,,0.2243948666666667,0.6119446666666667,,,,,377.1530181818181,371.1356454545454,OEW,AK,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
137,,0.18875780000000003,0.4250546666666667,0.868021,5.833593333333334,7.2545,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,213.38631818181813,BECCS,AZ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
139,0.24930143333333338,0.43140533333333336,1.1821553333333334,3.518617666666667,1.24454,4.450306666666667,359.5035,340.9439727272727,317.7545454545454,291.02489999999995,270.72188181818177,251.13589090909088,DAC,AZ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
141,,0.025888903333333334,0.11924806666666668,0.42255400000000004,3.2946576666666667,8.383943333333335,,302.89161818181816,249.5920363636363,208.90281818181813,195.69853636363632,203.33961818181814,TEW,AZ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
143,,0.17357046666666667,0.3894916666666667,0.773553,5.693966666666667,6.856813333333333,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,213.6774545454545,BECCS,AR,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
145,0.19433150000000002,0.2975844666666667,0.783035,1.9944100000000002,1.008436,3.4144183333333333,371.05745454545445,357.12949090909086,333.4925454545454,309.09864545454536,288.0503181818181,269.5839545454545,DAC,AR,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
147,,,0.07333040000000002,0.24380803333333334,2.3018856666666667,7.323176666666668,,,285.0840545454545,241.47681818181815,218.77150909090906,209.04089999999994,TEW,AR,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
149,,0.6325586666666667,1.3033240000000001,2.397167666666667,7.9239966666666675,11.631033333333335,,212.00050909090905,193.72379999999995,177.02421818181816,214.8669545454545,278.49439090909084,BECCS,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
151,0.547525,0.875919,2.082688666666667,4.574606666666667,3.0017533333333337,10.844386666666667,389.1062454545454,370.20234545454537,345.7019727272727,322.7188363636363,296.9574272727272,285.07074545454543,DAC,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
153,0.0858473,0.25325373333333334,0.7216110000000001,1.648009,11.001100000000001,38.17586666666667,244.29002727272723,228.30081818181813,214.34789999999998,200.57631818181815,192.60749999999996,187.39532727272726,OEW,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
155,0.02595871666666667,0.11241926666666668,0.4829696666666667,1.5677346666666667,14.047586666666668,37.16606666666667,337.8712363636363,277.82893636363633,227.4806454545454,189.3234818181818,177.53495454545453,189.0772636363636,TEW,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
