,2025_supply,2030_supply,2035_supply,2040_supply,2045_supply,2050_supply,2025_price,2030_price,2035_price,2040_price,2045_price,2050_price,product_price,GCAM,Units_supply,Units_price,colors
123,,0.16360520000000003,0.2780638666666667,0.4473296666666667,2.009821,4.43806,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,147.8180836363636,BECCS,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
125,0.2286639666666667,0.27750543333333333,0.5490026666666667,1.0597766666666668,0.38710100000000003,0.864028,371.7345545454545,357.76499999999993,334.4208545454545,312.7919181818181,280.1081181818181,255.04543636363633,DAC,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
127,0.020297933333333334,0.048053866666666674,0.11483193333333334,0.23396743333333334,0.9142136666666667,1.7490293333333333,270.7668,253.1339181818181,236.35448181818177,219.7131272727272,210.33687272727266,201.61609090909087,OEW,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
129,,,0.05992836666666667,0.16074923333333335,0.9649603333333333,2.1481790000000003,,,272.5236,231.14729999999997,206.58370909090905,188.26540909090906,TEW,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
131,,0.06285326666666667,0.11341696666666667,0.19299793333333337,1.1670633333333336,1.4132213333333334,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,175.7881363636363,BECCS,AK,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
133,,,,,,0.07311846666666667,,,,,,471.75736363636355,DAC,AK,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
135,,,,,0.09205313333333334,0.1493858666666667,,,,,377.19460909090907,371.78446363636357,OEW,AK,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
137,,0.15147843333333336,0.2749255666666667,0.4723876666666667,2.004830666666667,4.38724,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,147.8180836363636,BECCS,AZ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
139,0.24927650000000004,0.3462855,0.7581126666666668,1.7403723333333334,0.45969000000000004,1.0402700000000003,359.5001727272727,340.9323272727272,318.1471636363636,294.61669090909083,264.2919272727272,238.8233181818181,DAC,AZ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
141,,0.020779256666666666,0.0772684,0.23290043333333335,1.3869570000000002,3.0660190000000003,,302.87498181818177,249.44397272727267,208.01942727272726,182.90184545454542,166.5715909090909,TEW,AZ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
143,,0.13929666666666668,0.25218050000000003,0.42529666666666666,1.950875666666667,4.26118,,212.00050909090905,193.72379999999995,177.02421818181816,161.7631827272727,147.8180836363636,BECCS,AR,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
145,0.19431096666666667,0.23896216666666667,0.5042803333333333,1.0229633333333334,0.3782276666666667,0.8359376666666667,371.05412727272716,357.0945545454545,333.7670454545454,312.1214727272727,279.49423636363633,254.39828181818177,DAC,AR,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
147,,,0.04742246666666667,0.13367346666666668,0.8418410000000001,1.9630526666666668,,,285.1955181818181,241.6997454545454,214.0650818181818,191.39304545454542,TEW,AR,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
149,,0.5076463333333333,0.844789,1.3301603333333334,6.218006666666668,6.785863333333333,,212.00050909090905,193.72379999999995,177.02421818181816,164.56857272727268,190.05880909090905,BECCS,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
151,0.5474223333333335,0.703725,1.3562486666666667,2.4836606666666667,1.2070556666666667,2.470743,389.107909090909,370.1324727272726,345.444109090909,323.75860909090903,284.2206272727272,266.1635181818181,DAC,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
153,0.0858363,0.20337863333333334,0.4677200000000001,0.9141146666666667,3.922453333333334,7.415796666666667,244.28836363636358,228.25090909090903,214.35122727272721,200.60127272727271,191.88714545454542,184.51723636363633,OEW,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
155,0.025954500000000002,0.09023923333333334,0.3136584,0.8807223333333334,6.17903,13.595633333333334,337.8712363636363,277.80730909090903,227.3342454545454,188.5465636363636,164.9139436363636,150.76155545454543,TEW,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
