,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units,categorization
0,16.3092,27.1534,33.3563,38.5175,41.7875,,,,0.2350476504269131,0.10091394956973694,0.14259312801982343,0.15814290017545463,0.15682898074289855,SSP1,Lower CI,Eastern Africa,missing,Corn,Corn,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaCorn
1,16.3092,27.1534,33.3563,38.5175,41.7875,,,,0.24660000000000082,0.1845999999999961,0.1634999999999991,0.16490000000000293,0.1623999999999981,SSP1,Median,Eastern Africa,missing,Corn,Corn,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaCorn
2,16.3092,27.1534,33.3563,38.5175,41.7875,,,,0.26499679401753595,0.23155663866555393,0.16968306245636977,0.16966662363407597,0.16619959068566845,SSP1,Upper CI,Eastern Africa,missing,Corn,Corn,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaCorn
21,8.42815,12.700809999999999,13.58373,13.46642,16.37451,,,,-0.017983703511459816,-0.10227537423920896,-0.048593755316286125,-0.05759816278474976,-0.07457442279247467,SSP1,Lower CI,Eastern Africa,missingmissing,Fruits and Vegetables,FruitsVegetables,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,Pcal,Eastern AfricaFruits and Vegetables
22,8.42815,12.700809999999999,13.58373,13.46642,16.37451,,,,-0.013359999999998706,-0.031530000000001834,-0.04010000000000424,-0.049900000000000944,-0.06359999999999744,SSP1,Median,Eastern Africa,missingmissing,Fruits and Vegetables,FruitsVegetables,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,Pcal,Eastern AfricaFruits and Vegetables
23,8.42815,12.700809999999999,13.58373,13.46642,16.37451,,,,-0.0070096298218719575,0.00821184482744234,-0.02947291135038571,-0.03691612292953764,-0.04913986292180828,SSP1,Upper CI,Eastern Africa,missingmissing,Fruits and Vegetables,FruitsVegetables,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,Pcal,Eastern AfricaFruits and Vegetables
42,0.224861,0.338275,0.768787,1.2261,1.49083,,,,-0.0013213833312360984,-0.008493850428520348,-0.0033292109957129413,-0.003910342294090881,-0.005372851048666673,SSP1,Lower CI,Eastern Africa,missing,Other Crops,MiscCrop,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaOther Crops
43,0.224861,0.338275,0.768787,1.2261,1.49083,,,,-0.0009899999999998244,-0.0018899999999999473,-0.0024999999999995026,-0.0032799999999992835,-0.004449999999999399,SSP1,Median,Eastern Africa,missing,Other Crops,MiscCrop,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaOther Crops
44,0.224861,0.338275,0.768787,1.2261,1.49083,,,,-0.0006052833354301635,0.0014491445461676496,-0.0018822175757148359,-0.002390610086860569,-0.0034338156179995337,SSP1,Upper CI,Eastern Africa,missing,Other Crops,MiscCrop,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaOther Crops
63,4.717325,10.381689,15.527987000000001,10.910256,13.31747,,,,0.02608277682076037,-0.009189244644860269,0.06734548964286048,0.07671343941802779,0.07677722957730225,SSP1,Lower CI,Eastern Africa,missingmissingmissingmissing,Plant Oils,FiberCropOilCropOilPalmSoybean,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,Pcal,Eastern AfricaPlant Oils
64,4.717325,10.381689,15.527987000000001,10.910256,13.31747,,,,0.04205099999999684,0.08119699999999941,0.0899349999999951,0.08927699999999483,0.08622199999999824,SSP1,Median,Eastern Africa,missingmissingmissingmissing,Plant Oils,FiberCropOilCropOilPalmSoybean,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,Pcal,Eastern AfricaPlant Oils
65,4.717325,10.381689,15.527987000000001,10.910256,13.31747,,,,0.04911122317923428,0.09359712699780146,0.10204174845237222,0.09995398915339328,0.09209029423221914,SSP1,Upper CI,Eastern Africa,missingmissingmissingmissing,Plant Oils,FiberCropOilCropOilPalmSoybean,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,missingmissingmissingmissing,Pcal,Eastern AfricaPlant Oils
84,22.3899,32.6778,35.6094,44.9129,48.7445,,,,0.25136110773338316,0.12450420141476665,0.1933493662504464,0.21748399219242548,0.22687445634402623,SSP1,Lower CI,Eastern Africa,missing,Other Grains,OtherGrain,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaOther Grains
