,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units,categorization
0,275.39697319999993,373.7510683,394.7588538,426.8313396,442.6521465000001,,,,0.3697295859550906,0.1687188277828158,0.14905124728790292,0.231200311262565,0.24651916368031387,SSP1,Lower CI,Global,missing,Corn,Corn,missing,missing,missing,missing,missing,missing,missing,%,GlobalCorn
1,275.39697319999993,373.7510683,394.7588538,426.8313396,442.6521465000001,,,,0.4078965577989942,0.2985103433801256,0.28003685081938723,0.27748439750198506,0.2608523160822059,SSP1,Median,Global,missing,Corn,Corn,missing,missing,missing,missing,missing,missing,missing,%,GlobalCorn
2,275.39697319999993,373.7510683,394.7588538,426.8313396,442.6521465000001,,,,0.43065250723664866,0.3988522881884825,0.3378328831409719,0.29105974373719506,0.2667623068581522,SSP1,Upper CI,Global,missing,Corn,Corn,missing,missing,missing,missing,missing,missing,missing,%,GlobalCorn
21,122.84316100000004,200.63451,240.068023,273.416083,313.418726,,,,0.010878687868069083,-0.22669872396664154,-0.05507496448095866,-0.05456488284159132,-0.060595619151846844,SSP1,Lower CI,Global,missing,FruitsVeg,Fruits,missing,missing,missing,missing,missing,missing,missing,%,GlobalFruits
22,122.84316100000004,200.63451,240.068023,273.416083,313.418726,,,,0.019916225651451732,-0.02343046812642597,-0.037588216681262075,-0.042484065849621534,-0.05069335078359215,SSP1,Median,Global,missing,FruitsVeg,Fruits,missing,missing,missing,missing,missing,missing,missing,%,GlobalFruits
23,122.84316100000004,200.63451,240.068023,273.416083,313.418726,,,,0.04661314502661523,0.08466961233634158,-0.02133963772772749,-0.018455919562568385,-0.034839419178479894,SSP1,Upper CI,Global,missing,FruitsVeg,Fruits,missing,missing,missing,missing,missing,missing,missing,%,GlobalFruits
42,110.43760199999996,211.610769,242.170331,271.242299,310.762104,,,,-0.050541497954563225,-0.20992211542467984,-0.09652234783615758,-0.0950261260701038,-0.09732641038582651,SSP1,Lower CI,Global,missing,FruitsVeg,Vegetables,missing,missing,missing,missing,missing,missing,missing,%,GlobalVegetables
43,110.43760199999996,211.610769,242.170331,271.242299,310.762104,,,,-0.03990637451291516,-0.07637626042456966,-0.08230753617292258,-0.0837527470641895,-0.08835196519041914,SSP1,Median,Global,missing,FruitsVeg,Vegetables,missing,missing,missing,missing,missing,missing,missing,%,GlobalVegetables
44,110.43760199999996,211.610769,242.170331,271.242299,310.762104,,,,-0.012317362141047797,0.012901010245377459,-0.06526318336584995,-0.06377703111745567,-0.07537911821613322,SSP1,Upper CI,Global,missing,FruitsVeg,Vegetables,missing,missing,missing,missing,missing,missing,missing,%,GlobalVegetables
63,24.776594500000005,37.09926539999999,39.55672,41.8633871,47.66178850000001,,,,-0.045417352673613465,-0.249490710280589,-0.09671578252879506,-0.09389063996878343,-0.09848541526433494,SSP1,Lower CI,Global,missing,MiscCrop,Other Crops,missing,missing,missing,missing,missing,missing,missing,%,GlobalOther Crops
64,24.776594500000005,37.09926539999999,39.55672,41.8633871,47.66178850000001,,,,-0.04215602949983907,-0.06751598577405543,-0.07641069623294189,-0.08115173186591113,-0.09019985301428815,SSP1,Median,Global,missing,MiscCrop,Other Crops,missing,missing,missing,missing,missing,missing,missing,%,GlobalOther Crops
65,24.776594500000005,37.09926539999999,39.55672,41.8633871,47.66178850000001,,,,-0.009680991541373602,0.035974822962250186,-0.06454789677415138,-0.05967303952541515,-0.0763431185486107,SSP1,Upper CI,Global,missing,MiscCrop,Other Crops,missing,missing,missing,missing,missing,missing,missing,%,GlobalOther Crops
84,17.8706201,19.477539700000005,26.0629025,29.192878699999994,33.811510204,,,,-0.8436373710514916,-0.7587646017075799,-0.6043990279924617,-0.5607274071871519,-0.5199475982099537,SSP1,Lower CI,Global,missing,Oil,Fiber Crops,missing,missing,missing,missing,missing,missing,missing,%,GlobalFiber Crops
