,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units,categorization
0,4.96369,6.98368,8.25054,14.5062,16.2179,,,,-2.5424361024458335,-7.124466957888771,-2.0304789916613193,-2.088014971402795,-2.0636884079012696,SSP1,Lower CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Feed Crops,missing,missing,missing,median change in feed supply compared to reference scenario (%),Feed CropsAfrica_Eastern
1,4.96369,6.98368,8.25054,14.5062,16.2179,,,,-2.1736602975707235,-1.7686997996249643,-1.8602098686309818,-1.908170028850107,-1.8810950272440317,SSP1,Median,Africa_Eastern,missing,missing,missing,missing,missing,missing,Feed Crops,missing,missing,missing,median change in feed supply compared to reference scenario (%),Feed CropsAfrica_Eastern
2,4.96369,6.98368,8.25054,14.5062,16.2179,,,,-1.6983565796948847,13.461817424661227,-1.5948352650890496,-1.7970721740082758,-1.7204688118471507,SSP1,Upper CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Feed Crops,missing,missing,missing,median change in feed supply compared to reference scenario (%),Feed CropsAfrica_Eastern
21,10.9645,21.0297,27.3946,33.0488,36.3164,,,,0.03549467265133559,-0.0928566094844093,0.0178471301683875,0.03662883699703552,0.08859131182540285,SSP1,Lower CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Fodder - Herb,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - HerbAfrica_Eastern
22,10.9645,21.0297,27.3946,33.0488,36.3164,,,,0.14076270803065147,0.14395670544569664,0.10196267728612143,0.11867602697658569,0.15695749327207875,SSP1,Median,Africa_Eastern,missing,missing,missing,missing,missing,missing,Fodder - Herb,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - HerbAfrica_Eastern
23,10.9645,21.0297,27.3946,33.0488,36.3164,,,,0.21238321181675907,0.1754018162813413,0.19281628276677942,0.1664505300170107,0.20733108887952356,SSP1,Upper CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Fodder - Herb,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - HerbAfrica_Eastern
42,143.986,200.222,225.143,234.343,256.95,,,,0.2869370211908128,-0.2904074749664135,0.22524420057735373,0.2637528950608993,0.280004908939452,SSP1,Lower CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Fodder - Grass,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - GrassAfrica_Eastern
43,143.986,200.222,225.143,234.343,256.95,,,,0.285763382736538,0.262483057828201,0.2530743182213287,0.2751279044063412,0.2854295973936157,SSP1,Median,Africa_Eastern,missing,missing,missing,missing,missing,missing,Fodder - Grass,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - GrassAfrica_Eastern
44,143.986,200.222,225.143,234.343,256.95,,,,0.38359215354510295,0.47456671126086136,0.28346588558327446,0.31378413106867686,0.32808781485843336,SSP1,Upper CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Fodder - Grass,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - GrassAfrica_Eastern
63,8.75296,12.7568,14.648,15.3327,15.6088,,,,-4.317862505699937,-6.467130330012047,-7.333949286777156,-7.841035748462002,-7.7176638890592955,SSP1,Lower CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Scavenging,missing,missing,missing,median change in feed supply compared to reference scenario (%),ScavengingAfrica_Eastern
64,8.75296,12.7568,14.648,15.3327,15.6088,,,,-4.150468879496297,-6.251294718157595,-7.1408386809931015,-7.594724959987811,-7.544629381526082,SSP1,Median,Africa_Eastern,missing,missing,missing,missing,missing,missing,Scavenging,missing,missing,missing,median change in feed supply compared to reference scenario (%),ScavengingAfrica_Eastern
65,8.75296,12.7568,14.648,15.3327,15.6088,,,,-2.1358619463126547,-5.338775349968248,-6.692674514989489,-7.121020115320895,-6.855862032966762,SSP1,Upper CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Scavenging,missing,missing,missing,median change in feed supply compared to reference scenario (%),ScavengingAfrica_Eastern
84,9.63071,18.4329,31.9684,44.4731,50.0646,,,,-1.0724082162720123,-1.0000824681795586,-0.6016456910255461,-0.49120834660488016,-0.33930254255042996,SSP1,Lower CI,Africa_Northern,missing,missing,missing,missing,missing,missing,Feed Crops,missing,missing,missing,median change in feed supply compared to reference scenario (%),Feed CropsAfrica_Northern
85,9.63071,18.4329,31.9684,44.4731,50.0646,,,,-1.0278869555742831,-0.27267618005850436,-0.3954218711767397,-0.41452070022105436,-0.2930275913572037,SSP1,Median,Africa_Northern,missing,missing,missing,missing,missing,missing,Feed Crops,missing,missing,missing,median change in feed supply compared to reference scenario (%),Feed CropsAfrica_Northern
86,9.63071,18.4329,31.9684,44.4731,50.0646,,,,-0.7757117644575101,1.2099036613522243,-0.19972615117066875,-0.2843366064795139,-0.19451087291816965,SSP1,Upper CI,Africa_Northern,missing,missing,missing,missing,missing,missing,Feed Crops,missing,missing,missing,median change in feed supply compared to reference scenario (%),Feed CropsAfrica_Northern
105,14.0482,22.6385,24.9166,27.7005,30.7699,,,,2.180138851172395,1.1213860222512864,2.3184412331705135,2.5166095457990614,2.6623586863565767,SSP1,Lower CI,Africa_Northern,missing,missing,missing,missing,missing,missing,Fodder - Herb,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - HerbAfrica_Northern
106,14.0482,22.6385,24.9166,27.7005,30.7699,,,,2.203757586148421,2.0976607641412524,2.391577921254271,2.5680077254696183,2.6971897052954366,SSP1,Median,Africa_Northern,missing,missing,missing,missing,missing,missing,Fodder - Herb,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - HerbAfrica_Northern
107,14.0482,22.6385,24.9166,27.7005,30.7699,,,,2.375690451542077,2.6411806115220573,2.488167338432446,2.635827449455715,2.7510627652622186,SSP1,Upper CI,Africa_Northern,missing,missing,missing,missing,missing,missing,Fodder - Herb,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - HerbAfrica_Northern
126,12.2159,16.4568,18.0598,19.7896,21.645,,,,-0.20489394781344922,-0.7818843281610088,-0.032776195688042895,0.04229855904635565,0.08687001297579172,SSP1,Lower CI,Africa_Northern,missing,missing,missing,missing,missing,missing,Fodder - Grass,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - GrassAfrica_Northern
127,12.2159,16.4568,18.0598,19.7896,21.645,,,,-0.1651054520040541,-0.01443658447276847,0.032418851442756615,0.0694408531272687,0.11065337787885209,SSP1,Median,Africa_Northern,missing,missing,missing,missing,missing,missing,Fodder - Grass,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - GrassAfrica_Northern
128,12.2159,16.4568,18.0598,19.7896,21.645,,,,0.09457234441955997,0.32927671903453803,0.06744050870258672,0.12472533692542567,0.15309258898799005,SSP1,Upper CI,Africa_Northern,missing,missing,missing,missing,missing,missing,Fodder - Grass,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - GrassAfrica_Northern
147,1.78399,2.65277,2.97311,3.32487,3.54877,,,,3.3279913606180664,2.6641025778316205,3.6020649680623027,3.8020016092127684,4.11146906816864,SSP1,Lower CI,Africa_Northern,missing,missing,missing,missing,missing,missing,Scavenging,missing,missing,missing,median change in feed supply compared to reference scenario (%),ScavengingAfrica_Northern
148,1.78399,2.65277,2.97311,3.32487,3.54877,,,,3.437402723655391,3.458872280037271,3.7276627069546167,3.892821279564469,4.208468233527685,SSP1,Median,Africa_Northern,missing,missing,missing,missing,missing,missing,Scavenging,missing,missing,missing,median change in feed supply compared to reference scenario (%),ScavengingAfrica_Northern
149,1.78399,2.65277,2.97311,3.32487,3.54877,,,,3.823090519184318,3.8276005874049313,3.7914213305442983,3.975568059228403,4.286507027763701,SSP1,Upper CI,Africa_Northern,missing,missing,missing,missing,missing,missing,Scavenging,missing,missing,missing,median change in feed supply compared to reference scenario (%),ScavengingAfrica_Northern
168,1.51533,9.42762,14.8507,18.2189,21.3683,,,,-0.418547020450728,0.33716085097124115,0.7442957338746158,0.8909806065934759,1.0314804246709417,SSP1,Lower CI,Africa_Southern,missing,missing,missing,missing,missing,missing,Feed Crops,missing,missing,missing,median change in feed supply compared to reference scenario (%),Feed CropsAfrica_Southern
169,1.51533,9.42762,14.8507,18.2189,21.3683,,,,-0.2002211739706126,0.5861470458076213,0.8670288322880813,1.0306859823883687,1.1980509557060388,SSP1,Median,Africa_Southern,missing,missing,missing,missing,missing,missing,Feed Crops,missing,missing,missing,median change in feed supply compared to reference scenario (%),Feed CropsAfrica_Southern
170,1.51533,9.42762,14.8507,18.2189,21.3683,,,,0.12604044103564885,1.54398674972924,1.1678017105342802,1.2444367755933519,1.3849834392953824,SSP1,Upper CI,Africa_Southern,missing,missing,missing,missing,missing,missing,Feed Crops,missing,missing,missing,median change in feed supply compared to reference scenario (%),Feed CropsAfrica_Southern
189,4.03111,4.35595,5.46152,7.13946,7.83986,,,,-0.258579149844127,-0.031152548461606644,-0.0744584816495798,0.04502833807530343,0.2600671589167254,SSP1,Lower CI,Africa_Southern,missing,missing,missing,missing,missing,missing,Fodder - Herb,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - HerbAfrica_Southern
190,4.03111,4.35595,5.46152,7.13946,7.83986,,,,0.09390314190229747,0.17608482361931863,0.048297283530657084,0.15847406506531164,0.3332131654937992,SSP1,Median,Africa_Southern,missing,missing,missing,missing,missing,missing,Fodder - Herb,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - HerbAfrica_Southern
191,4.03111,4.35595,5.46152,7.13946,7.83986,,,,0.5376801549426035,0.6763676541496566,0.44640618898928763,0.5851401903054552,0.7590584875935391,SSP1,Upper CI,Africa_Southern,missing,missing,missing,missing,missing,missing,Fodder - Herb,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - HerbAfrica_Southern
210,52.8902,61.0428,80.6109,102.616,112.32,,,,0.13240649434318796,-0.54734501380146,0.029400072612141684,0.08631334625931607,0.14461102161208342,SSP1,Lower CI,Africa_Southern,missing,missing,missing,missing,missing,missing,Fodder - Grass,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - GrassAfrica_Southern
211,52.8902,61.0428,80.6109,102.616,112.32,,,,0.14605576398406012,0.08871386526403309,0.06234142800846054,0.10424007509380452,0.1465019833013968,SSP1,Median,Africa_Southern,missing,missing,missing,missing,missing,missing,Fodder - Grass,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - GrassAfrica_Southern
212,52.8902,61.0428,80.6109,102.616,112.32,,,,0.38609146780025383,0.3940155498778644,0.12310514828562112,0.17963517530794837,0.236115255871053,SSP1,Upper CI,Africa_Southern,missing,missing,missing,missing,missing,missing,Fodder - Grass,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - GrassAfrica_Southern
231,3.01153,3.53617,4.72868,6.05096,6.75208,,,,-11.580193092125587,-13.993837627584453,-15.761628726473862,-17.070573959894354,-17.801573009271014,SSP1,Lower CI,Africa_Southern,missing,missing,missing,missing,missing,missing,Scavenging,missing,missing,missing,median change in feed supply compared to reference scenario (%),ScavengingAfrica_Southern
232,3.01153,3.53617,4.72868,6.05096,6.75208,,,,-11.221363226405318,-13.836132289961842,-15.612340911714137,-16.84834271291044,-17.617362725213553,SSP1,Median,Africa_Southern,missing,missing,missing,missing,missing,missing,Scavenging,missing,missing,missing,median change in feed supply compared to reference scenario (%),ScavengingAfrica_Southern
233,3.01153,3.53617,4.72868,6.05096,6.75208,,,,-9.742783133843439,-12.741728160788467,-15.009222998537872,-16.202679135659423,-16.77037258264502,SSP1,Upper CI,Africa_Southern,missing,missing,missing,missing,missing,missing,Scavenging,missing,missing,missing,median change in feed supply compared to reference scenario (%),ScavengingAfrica_Southern
252,21.2104,48.4287,64.8405,86.0217,99.3289,,,,-0.8422146005176031,-6.160337985252172,-0.42748209967271145,-0.2695335483304733,-0.22834562177321815,SSP1,Lower CI,Africa_Western,missing,missing,missing,missing,missing,missing,Feed Crops,missing,missing,missing,median change in feed supply compared to reference scenario (%),Feed CropsAfrica_Western
253,21.2104,48.4287,64.8405,86.0217,99.3289,,,,-0.6829328013965339,-0.2319682471401614,-0.1924990406312754,-0.1911777483865692,-0.15417457294747536,SSP1,Median,Africa_Western,missing,missing,missing,missing,missing,missing,Feed Crops,missing,missing,missing,median change in feed supply compared to reference scenario (%),Feed CropsAfrica_Western
254,21.2104,48.4287,64.8405,86.0217,99.3289,,,,-0.45336243373862894,18.01943920390285,0.4123695623773448,0.13724338477827325,0.1637657101572147,SSP1,Upper CI,Africa_Western,missing,missing,missing,missing,missing,missing,Feed Crops,missing,missing,missing,median change in feed supply compared to reference scenario (%),Feed CropsAfrica_Western
273,11.2377,10.9207,13.8556,16.4757,17.6606,,,,0.024780616069711325,-3.8423615457404043,0.19615125412537074,0.37981066169502975,0.5222987841367184,SSP1,Lower CI,Africa_Western,missing,missing,missing,missing,missing,missing,Fodder - Herb,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - HerbAfrica_Western
274,11.2377,10.9207,13.8556,16.4757,17.6606,,,,0.28917853475447836,0.22672238789292282,0.28573455881099996,0.46200245667166473,0.5796916463552398,SSP1,Median,Africa_Western,missing,missing,missing,missing,missing,missing,Fodder - Herb,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - HerbAfrica_Western
275,11.2377,10.9207,13.8556,16.4757,17.6606,,,,0.8049998220318391,1.6292540597006238,0.6004994032218771,0.8094763275512263,0.9323413480866665,SSP1,Upper CI,Africa_Western,missing,missing,missing,missing,missing,missing,Fodder - Herb,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - HerbAfrica_Western
294,65.3582,88.9266,118.259,136.886,150.248,,,,0.2843383968462345,-3.1084257079631827,0.2985039936027705,0.4640054766776422,0.5430322633137709,SSP1,Lower CI,Africa_Western,missing,missing,missing,missing,missing,missing,Fodder - Grass,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - GrassAfrica_Western
295,65.3582,88.9266,118.259,136.886,150.248,,,,0.31381515149211187,0.3233802815079617,0.4051915160694214,0.4930553504803332,0.5712474162355982,SSP1,Median,Africa_Western,missing,missing,missing,missing,missing,missing,Fodder - Grass,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - GrassAfrica_Western
296,65.3582,88.9266,118.259,136.886,150.248,,,,0.4548706266685356,1.5224107958492572,0.4720834432078089,0.5433372728683121,0.6106686220449108,SSP1,Upper CI,Africa_Western,missing,missing,missing,missing,missing,missing,Fodder - Grass,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - GrassAfrica_Western
315,4.5397,6.45375,8.76082,10.3515,11.8458,,,,-8.090890070613645,-13.900556278930697,-10.422916803653846,-11.105219177300649,-11.68788702207248,SSP1,Lower CI,Africa_Western,missing,missing,missing,missing,missing,missing,Scavenging,missing,missing,missing,median change in feed supply compared to reference scenario (%),ScavengingAfrica_Western
316,4.5397,6.45375,8.76082,10.3515,11.8458,,,,-7.802039951986136,-9.345669554841262,-10.246721127823374,-10.958996147346006,-11.517543720848389,SSP1,Median,Africa_Western,missing,missing,missing,missing,missing,missing,Scavenging,missing,missing,missing,median change in feed supply compared to reference scenario (%),ScavengingAfrica_Western
317,4.5397,6.45375,8.76082,10.3515,11.8458,,,,-6.850716439008125,-7.755064289967092,-9.868993004164166,-10.51101952889209,-11.04345906704313,SSP1,Upper CI,Africa_Western,missing,missing,missing,missing,missing,missing,Scavenging,missing,missing,missing,median change in feed supply compared to reference scenario (%),ScavengingAfrica_Western
336,5.10751,7.79218,12.4152,27.6069,30.0244,,,,-0.027324898907403805,-0.8435078572959248,0.09501785546769037,0.05156608536350646,0.04250842050039527,SSP1,Lower CI,Argentina,missing,missing,missing,missing,missing,missing,Feed Crops,missing,missing,missing,median change in feed supply compared to reference scenario (%),Feed CropsArgentina
337,5.10751,7.79218,12.4152,27.6069,30.0244,,,,0.6432486690124064,0.20784206002827937,0.20671678995236736,0.21195558830872077,0.22701955345274705,SSP1,Median,Argentina,missing,missing,missing,missing,missing,missing,Feed Crops,missing,missing,missing,median change in feed supply compared to reference scenario (%),Feed CropsArgentina
338,5.10751,7.79218,12.4152,27.6069,30.0244,,,,0.9834846676636242,0.7400849237219532,0.548642607005354,0.45666768669220315,0.4091625692251689,SSP1,Upper CI,Argentina,missing,missing,missing,missing,missing,missing,Feed Crops,missing,missing,missing,median change in feed supply compared to reference scenario (%),Feed CropsArgentina
357,16.5106,18.6249,20.865,22.8294,24.915,,,,0.021740726454075085,-0.3166100341183917,-0.12391166268369072,-0.0942742960699377,-0.14006168266727836,SSP1,Lower CI,Argentina,missing,missing,missing,missing,missing,missing,Fodder - Herb,missing,missing,missing,median change in feed supply compared to reference scenario (%),Fodder - HerbArgentina
