,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units,categorization
0,0.944488,1.40439,1.63955,2.12053,2.33537,,,,0.14883506345368713,-0.2074158910740501,-0.09361976057528404,-0.0742758228623291,-0.028550033352141596,SSP1,Lower CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Beef,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",BeefAfrica_Eastern
1,0.944488,1.40439,1.63955,2.12053,2.33537,,,,0.16271102100444695,-0.0017207379309016884,-0.0543001084485953,-0.05009543546115804,-0.018822407930658612,SSP1,Median,Africa_Eastern,missing,missing,missing,missing,missing,missing,Beef,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",BeefAfrica_Eastern
2,0.944488,1.40439,1.63955,2.12053,2.33537,,,,0.38346568880559506,0.11899020540193092,0.012891584502038735,0.04011272088984473,0.10266898081093837,SSP1,Upper CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Beef,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",BeefAfrica_Eastern
21,10.2072,18.3386,20.733,20.9709,23.1047,,,,0.15026444900128816,0.057750894760683916,-0.004341057961253815,-0.002675820607228818,0.010504723848433026,SSP1,Lower CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Dairy,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",DairyAfrica_Eastern
22,10.2072,18.3386,20.733,20.9709,23.1047,,,,0.15632576744990073,0.09154653249382223,0.03140109656883439,0.028508817026597702,0.03706161392012616,SSP1,Median,Africa_Eastern,missing,missing,missing,missing,missing,missing,Dairy,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",DairyAfrica_Eastern
23,10.2072,18.3386,20.733,20.9709,23.1047,,,,0.29817837678534953,0.13228558316337036,0.06405620013055358,0.06231044302775643,0.0726275856522232,SSP1,Upper CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Dairy,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",DairyAfrica_Eastern
42,0.10197,0.141356,0.174821,0.205877,0.215174,,,,0.5014854860664161,0.6760692778495792,0.7555371485685916,0.9519742383672849,1.2527958073578183,SSP1,Lower CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Pork,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",PorkAfrica_Eastern
43,0.10197,0.141356,0.174821,0.205877,0.215174,,,,0.7071317499500102,1.0132188124620924,0.9378029732028158,1.0501904694515265,1.3292197187655261,SSP1,Median,Africa_Eastern,missing,missing,missing,missing,missing,missing,Pork,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",PorkAfrica_Eastern
44,0.10197,0.141356,0.174821,0.205877,0.215174,,,,2.15700279894477,2.4754144320984883,1.2760838550579305,1.4456437079861741,1.721089483767071,SSP1,Upper CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Pork,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",PorkAfrica_Eastern
63,0.413376,0.455194,0.563352,0.744629,0.831948,,,,-0.010661719450550083,-0.06653954050264958,-0.07446826359216796,-0.029261211531382017,0.031513287527888664,SSP1,Lower CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Poultry,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",PoultryAfrica_Eastern
64,0.413376,0.455194,0.563352,0.744629,0.831948,,,,0.05689743255842379,-0.01643760408770968,-0.03904615450694301,-0.0038363045032211054,0.035064163913541536,SSP1,Median,Africa_Eastern,missing,missing,missing,missing,missing,missing,Poultry,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",PoultryAfrica_Eastern
65,0.413376,0.455194,0.563352,0.744629,0.831948,,,,0.2031748962790388,0.30042623395969653,0.0816400062567029,0.1319280272841502,0.20093111009436682,SSP1,Upper CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Poultry,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",PoultryAfrica_Eastern
84,0.441073,0.796115,0.985386,0.930541,1.03531,,,,0.06000429922540562,-0.4727700854102723,-0.381268363200052,-0.361476302148806,-0.3241866338613839,SSP1,Lower CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Sheep & Goat,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",Sheep & GoatAfrica_Eastern
85,0.441073,0.796115,0.985386,0.930541,1.03531,,,,0.11579539897647273,-0.20962441327079792,-0.35031322605633547,-0.34745506537366816,-0.30433526861741184,SSP1,Median,Africa_Eastern,missing,missing,missing,missing,missing,missing,Sheep & Goat,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",Sheep & GoatAfrica_Eastern
86,0.441073,0.796115,0.985386,0.930541,1.03531,,,,0.3291969028899785,-0.08045900783789048,-0.22721928303503727,-0.19468266960214464,-0.1270482291980872,SSP1,Upper CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,Sheep & Goat,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",Sheep & GoatAfrica_Eastern
105,0.654498,1.03718,1.2827,1.50294,1.69365,,,,-0.0822299174080472,-0.7664829703797587,0.3968528538710655,0.5769342225743075,0.764166542443782,SSP1,Lower CI,Africa_Northern,missing,missing,missing,missing,missing,missing,Beef,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",BeefAfrica_Northern
106,0.654498,1.03718,1.2827,1.50294,1.69365,,,,-0.08195362759223684,0.29002977653600687,0.4386021748686991,0.5936523268628757,0.7840888699907947,SSP1,Median,Africa_Northern,missing,missing,missing,missing,missing,missing,Beef,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",BeefAfrica_Northern
107,0.654498,1.03718,1.2827,1.50294,1.69365,,,,0.20812103933176984,0.8649923753442432,0.5240631186016943,0.6863619024001526,0.8583165652006757,SSP1,Upper CI,Africa_Northern,missing,missing,missing,missing,missing,missing,Beef,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",BeefAfrica_Northern
126,4.82575,10.3331,12.3971,13.2623,14.3888,,,,2.6125100814513647,2.746683203236035,2.9704946408815784,3.1510446880297778,3.344399924314115,SSP1,Lower CI,Africa_Northern,missing,missing,missing,missing,missing,missing,Dairy,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",DairyAfrica_Northern
127,4.82575,10.3331,12.3971,13.2623,14.3888,,,,2.6298782948515376,2.8746164067852766,3.064759261288987,3.1860148563146686,3.3708539676678915,SSP1,Median,Africa_Northern,missing,missing,missing,missing,missing,missing,Dairy,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",DairyAfrica_Northern
128,4.82575,10.3331,12.3971,13.2623,14.3888,,,,2.858279363232167,3.1229931073031736,3.076087285106243,3.196659413882278,3.3830109631541827,SSP1,Upper CI,Africa_Northern,missing,missing,missing,missing,missing,missing,Dairy,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",DairyAfrica_Northern
147,0.00341881,0.0035027,0.00171841,0.00136427,0.00140003,,,,1.1185517847776685,2.942318020811958,4.027117933581365,4.692905060733522,5.150897327008394,SSP1,Lower CI,Africa_Northern,missing,missing,missing,missing,missing,missing,Pork,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",PorkAfrica_Northern
148,0.00341881,0.0035027,0.00171841,0.00136427,0.00140003,,,,1.62133379033442,4.200999018059166,4.441029962082736,5.153192780221443,5.499186991869924,SSP1,Median,Africa_Northern,missing,missing,missing,missing,missing,missing,Pork,missing,missing,missing,"median change in
 herd size compared
 to reference scenario (%)",PorkAfrica_Northern
