,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,Units,GHG_ER_type
0,0.0,0.0,0.0,0.0,0.0,,,,-84.9362641084967,-150.37044053328233,-172.21631805161863,-179.9883385486458,-179.66333208729299,SSP1,Lower CI,GHG Emissions (Mt CO$_2$-eq/yr),Avoided biomass decomposition CH$_4$
2,0.0,0.0,0.0,0.0,0.0,,,,-79.8761465993,-141.5138474618,-161.382539841,-168.1543643301,-168.2204176828,SSP1,Median,GHG Emissions (Mt CO$_2$-eq/yr),Avoided biomass decomposition CH$_4$
4,0.0,0.0,0.0,0.0,0.0,,,,-61.14759796733661,-116.42557551958001,-139.75818731494329,-145.96015198662087,-145.99704571329744,SSP1,Upper CI,GHG Emissions (Mt CO$_2$-eq/yr),Avoided biomass decomposition CH$_4$
1,0.0,0.0,0.0,0.0,0.0,,,,-29.250459381639505,-40.22928777224418,-43.577180642136774,-45.102298749323445,-44.91360629016611,SSP1,Lower CI,GHG Emissions (Mt CO$_2$-eq/yr),Avoided biomass decomposition N$_2$O
3,0.0,0.0,0.0,0.0,0.0,,,,-26.497472928112,-36.005530646448,-39.00793618276,-40.150307570672,-40.03315608476,SSP1,Median,GHG Emissions (Mt CO$_2$-eq/yr),Avoided biomass decomposition N$_2$O
5,0.0,0.0,0.0,0.0,0.0,,,,-19.3345523717765,-30.28694764606256,-34.28081007949714,-35.33413716785095,-35.223542554106665,SSP1,Upper CI,GHG Emissions (Mt CO$_2$-eq/yr),Avoided biomass decomposition N$_2$O
0,0.0,0.0,0.0,0.0,0.0,,,,-128.8467749492837,-178.49540885199968,-193.67983985369173,-200.5887988566107,-199.89062869953705,SSP1,Lower CI,GHG Emissions (Mt CO$_2$-eq/yr),Net pyrolysis CO$_2$
1,0.0,0.0,0.0,0.0,0.0,,,,-117.55919074206975,-160.448536639861,-173.9346153539948,-178.92505217276374,-178.56061921999972,SSP1,Median,GHG Emissions (Mt CO$_2$-eq/yr),Net pyrolysis CO$_2$
2,0.0,0.0,0.0,0.0,0.0,,,,-83.65600300605072,-133.41075571356208,-151.52976125019725,-156.2870061545811,-155.90511980277813,SSP1,Upper CI,GHG Emissions (Mt CO$_2$-eq/yr),Net pyrolysis CO$_2$
0,0.0,0.0,0.0,0.0,0.0,,,,-82.00117002095062,-51.867190892376684,-48.299326132745755,-50.63870124661132,-51.14478144130056,SSP1,Lower CI,GHG Emissions (Mt CO$_2$-eq/yr),Avoided cropland N$_2$O
1,0.0,0.0,0.0,0.0,0.0,,,,-8.42172332755515,-10.075264228820595,-11.310244041827566,-11.938993414783381,-12.077350084177402,SSP1,Median,GHG Emissions (Mt CO$_2$-eq/yr),Avoided cropland N$_2$O
2,0.0,0.0,0.0,0.0,0.0,,,,61.21895017463785,28.4044488249869,22.532806092844915,23.61826941591221,23.90928776610655,SSP1,Upper CI,GHG Emissions (Mt CO$_2$-eq/yr),Avoided cropland N$_2$O
0,0.0,0.0,0.0,0.0,0.0,,,,-153.47732381389258,-215.79052165037172,-235.06119829887325,-243.62014265988347,-242.81658410920545,SSP1,Lower CI,GHG Emissions (Mt CO$_2$-eq/yr),Sequestered C in biochar
1,0.0,0.0,0.0,0.0,0.0,,,,-140.3343823448903,-194.71102553969098,-211.8500540364533,-218.1315806473964,-217.73944538971227,SSP1,Median,GHG Emissions (Mt CO$_2$-eq/yr),Sequestered C in biochar
