,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
21,0.0,0.0,0.0,0.0,0.0,,,,-42.95102863062955,-56.27730956245222,-58.819745846052705,-60.67668803481377,-60.924100447894205,SSP1,Lower CI,All,biochar,slow pyrolysis,beef biochar,missing,missing,missing,missing,missing,missing,missing,Net pyrolysis CO$_2$
21,0.0,0.0,0.0,0.0,0.0,,,,-39.07686445401975,-49.17874477625648,-50.74064631067115,-51.7830891533729,-52.03671068996506,SSP1,Median,All,biochar,slow pyrolysis,beef biochar,missing,missing,missing,missing,missing,missing,missing,Net pyrolysis CO$_2$
21,0.0,0.0,0.0,0.0,0.0,,,,-26.968766847120715,-40.672659889760524,-44.26056076874212,-45.343412312697346,-45.58639717512928,SSP1,Upper CI,All,biochar,slow pyrolysis,beef biochar,missing,missing,missing,missing,missing,missing,missing,Net pyrolysis CO$_2$
22,0.0,0.0,0.0,0.0,0.0,,,,-3.2844344435236996,-8.243624484360707,-11.100601550899643,-12.24043566839585,-12.475442856278079,SSP1,Lower CI,All,biochar,slow pyrolysis,dairy biochar,missing,missing,missing,missing,missing,missing,missing,Net pyrolysis CO$_2$
22,0.0,0.0,0.0,0.0,0.0,,,,-3.1714953440450193,-8.1368325569168,-10.939375504245586,-12.012885241980479,-12.223559530086607,SSP1,Median,All,biochar,slow pyrolysis,dairy biochar,missing,missing,missing,missing,missing,missing,missing,Net pyrolysis CO$_2$
22,0.0,0.0,0.0,0.0,0.0,,,,-2.681637104568984,-6.57891629560146,-9.195429036252506,-10.103426323740585,-10.292344087305402,SSP1,Upper CI,All,biochar,slow pyrolysis,dairy biochar,missing,missing,missing,missing,missing,missing,missing,Net pyrolysis CO$_2$
23,0.0,0.0,0.0,0.0,0.0,,,,-12.296556825415827,-24.1083169257812,-27.935166048064605,-29.252450787892666,-29.217596558686346,SSP1,Lower CI,All,biochar,slow pyrolysis,goat biochar,missing,missing,missing,missing,missing,missing,missing,Net pyrolysis CO$_2$
23,0.0,0.0,0.0,0.0,0.0,,,,-11.71072261881991,-23.26632280232992,-26.465718032140362,-27.644166735582193,-27.714664119008606,SSP1,Median,All,biochar,slow pyrolysis,goat biochar,missing,missing,missing,missing,missing,missing,missing,Net pyrolysis CO$_2$
23,0.0,0.0,0.0,0.0,0.0,,,,-8.891803331897613,-18.59684692071342,-22.59107356778004,-23.65400962557079,-23.691685490877923,SSP1,Upper CI,All,biochar,slow pyrolysis,goat biochar,missing,missing,missing,missing,missing,missing,missing,Net pyrolysis CO$_2$
24,0.0,0.0,0.0,0.0,0.0,,,,-8.297085375779533,-16.018411891172736,-18.841043900476592,-19.735042012383108,-19.65867018974041,SSP1,Lower CI,All,biochar,slow pyrolysis,pork biochar,missing,missing,missing,missing,missing,missing,missing,Net pyrolysis CO$_2$
24,0.0,0.0,0.0,0.0,0.0,,,,-7.938569407083693,-15.114603403529115,-18.04105205358662,-18.848808199999382,-18.812928342503387,SSP1,Median,All,biochar,slow pyrolysis,pork biochar,missing,missing,missing,missing,missing,missing,missing,Net pyrolysis CO$_2$
24,0.0,0.0,0.0,0.0,0.0,,,,-6.008266687034881,-12.304687337115249,-15.309459623954075,-16.057891093666623,-16.02921107832319,SSP1,Upper CI,All,biochar,slow pyrolysis,pork biochar,missing,missing,missing,missing,missing,missing,missing,Net pyrolysis CO$_2$
25,0.0,0.0,0.0,0.0,0.0,,,,-62.426715230180896,-74.76207906188817,-77.8443553320114,-79.54080508685978,-78.45142245299401,SSP1,Lower CI,All,biochar,slow pyrolysis,poultry biochar,missing,missing,missing,missing,missing,missing,missing,Net pyrolysis CO$_2$
25,0.0,0.0,0.0,0.0,0.0,,,,-55.61305153937217,-64.70356097714496,-67.74782345335106,-68.72010071162114,-67.86207102925246,SSP1,Median,All,biochar,slow pyrolysis,poultry biochar,missing,missing,missing,missing,missing,missing,missing,Net pyrolysis CO$_2$
25,0.0,0.0,0.0,0.0,0.0,,,,-38.69648347918275,-54.34331219671609,-59.31216542965528,-60.271644065171316,-59.468878165086394,SSP1,Upper CI,All,biochar,slow pyrolysis,poultry biochar,missing,missing,missing,missing,missing,missing,missing,Net pyrolysis CO$_2$
