,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
21,0.0,0.0,0.0,0.0,0.0,,,,-50.23844550829334,-65.82577041683226,-68.79957688350405,-70.97158281529205,-71.2609732077669,SSP1,Lower CI,All,biochar,slow pyrolysis,beef biochar,missing,missing,missing,missing,missing,missing,missing,Sequestered C in biochar
21,0.0,0.0,0.0,0.0,0.0,,,,-45.70695948614027,-57.52280605094352,-59.34971235860886,-60.56902443606712,-60.86567744187495,SSP1,Median,All,biochar,slow pyrolysis,beef biochar,missing,missing,missing,missing,missing,missing,missing,Sequestered C in biochar
21,0.0,0.0,0.0,0.0,0.0,,,,-31.544504680587508,-47.57351040696441,-51.77016339863067,-53.03674024251495,-53.32095187049727,SSP1,Upper CI,All,biochar,slow pyrolysis,beef biochar,missing,missing,missing,missing,missing,missing,missing,Sequestered C in biochar
22,0.0,0.0,0.0,0.0,0.0,,,,-3.841698000658769,-9.642304099628676,-12.98401886762855,-14.317246406665664,-14.592126803687378,SSP1,Lower CI,All,biochar,slow pyrolysis,dairy biochar,missing,missing,missing,missing,missing,missing,missing,Sequestered C in biochar
22,0.0,0.0,0.0,0.0,0.0,,,,-3.709596745442981,-9.517392995083203,-12.79543791351442,-14.051087945219521,-14.297506927033393,SSP1,Median,All,biochar,slow pyrolysis,dairy biochar,missing,missing,missing,missing,missing,missing,missing,Sequestered C in biochar
22,0.0,0.0,0.0,0.0,0.0,,,,-3.1366252182103267,-7.69514813399598,-10.755599465054733,-11.81765487335333,-12.038625943732573,SSP1,Upper CI,All,biochar,slow pyrolysis,dairy biochar,missing,missing,missing,missing,missing,missing,missing,Sequestered C in biochar
23,0.0,0.0,0.0,0.0,0.0,,,,-17.355135543563744,-34.02603785063838,-39.42718275363447,-41.28637435773712,-41.23718173571046,SSP1,Lower CI,All,biochar,slow pyrolysis,goat biochar,missing,missing,missing,missing,missing,missing,missing,Sequestered C in biochar
23,0.0,0.0,0.0,0.0,0.0,,,,-16.52829985241209,-32.837662734998084,-37.35323068293166,-39.016471642961804,-39.115970361359395,SSP1,Median,All,biochar,slow pyrolysis,goat biochar,missing,missing,missing,missing,missing,missing,missing,Sequestered C in biochar
23,0.0,0.0,0.0,0.0,0.0,,,,-12.549728695827522,-26.247249825641585,-31.88462830774453,-33.38483683107448,-33.4380118587192,SSP1,Upper CI,All,biochar,slow pyrolysis,goat biochar,missing,missing,missing,missing,missing,missing,missing,Sequestered C in biochar
24,0.0,0.0,0.0,0.0,0.0,,,,-11.710354642979894,-22.60809375428841,-26.591904979380153,-27.85367757378306,-27.745887779250225,SSP1,Lower CI,All,biochar,slow pyrolysis,pork biochar,missing,missing,missing,missing,missing,missing,missing,Sequestered C in biochar
24,0.0,0.0,0.0,0.0,0.0,,,,-11.204351757815498,-21.33247497488689,-25.462811109149385,-26.602863369808635,-26.552223194760632,SSP1,Median,All,biochar,slow pyrolysis,pork biochar,missing,missing,missing,missing,missing,missing,missing,Sequestered C in biochar
24,0.0,0.0,0.0,0.0,0.0,,,,-8.479957781339564,-17.36661079916459,-21.607491482759393,-22.663813979076615,-22.623335529642077,SSP1,Upper CI,All,biochar,slow pyrolysis,pork biochar,missing,missing,missing,missing,missing,missing,missing,Sequestered C in biochar
25,0.0,0.0,0.0,0.0,0.0,,,,-70.84979038506438,-84.84953294043498,-88.34769277219739,-90.27304010284938,-89.03666988900858,SSP1,Lower CI,All,biochar,slow pyrolysis,poultry biochar,missing,missing,missing,missing,missing,missing,missing,Sequestered C in biochar
25,0.0,0.0,0.0,0.0,0.0,,,,-63.11677668302784,-73.43384503725503,-76.88886197224898,-77.9923260851789,-77.01852467794748,SSP1,Median,All,biochar,slow pyrolysis,poultry biochar,missing,missing,missing,missing,missing,missing,missing,Sequestered C in biochar
25,0.0,0.0,0.0,0.0,0.0,,,,-43.91769986663866,-61.67571469635839,-67.3150024389512,-68.40394104407572,-67.49286001827483,SSP1,Upper CI,All,biochar,slow pyrolysis,poultry biochar,missing,missing,missing,missing,missing,missing,missing,Sequestered C in biochar
