,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,Units
0,0.0,0.0,0.0,0.0,0.0,,,,48.43339155125147,76.56622409936493,86.96147702361822,89.79005756961207,89.61072061603463,SSP1,Lower CI,Mt Biochar
1,0.0,0.0,0.0,0.0,0.0,,,,66.299452,91.285639,99.053857,102.058497,101.884958,SSP1,Median,Mt Biochar
2,0.0,0.0,0.0,0.0,0.0,,,,73.0129290043041,101.41291164181156,110.0190831954294,113.87622637324505,113.58020802206062,SSP1,Upper CI,Mt Biochar
0,1141.3216238413086,456.97619527855477,1103.800293067718,1820.6517668811503,767.7783962469598,,,,-28.440645192286,-23.516204221358414,-31.139868551699927,-26.956708629226913,-22.098982739075907,SSP1,Lower CI,kg CO2-eq/kg biochar
1,1141.3216238413086,456.97619527855477,1103.800293067718,1820.6517668811503,767.7783962469598,,,,-16.60078515221913,-12.719591043039477,-14.820790504185142,-13.560202915258504,-12.049186249751033,SSP1,Median,kg CO2-eq/kg biochar
2,1141.3216238413086,456.97619527855477,1103.800293067718,1820.6517668811503,767.7783962469598,,,,-10.538597652510552,0.6479312126263075,-6.403777073745003,-12.144751711227773,-10.432444645440171,SSP1,Upper CI,kg CO2-eq/kg biochar
0,0.0,0.0,0.0,0.0,0.0,,,,103.59899824769718,164.02857900087105,186.20759621853483,192.20828519562718,191.86795747897222,SSP1,Lower CI,Mt Manure Mix
1,0.0,0.0,0.0,0.0,0.0,,,,141.788906966,195.215097477,211.967103389,218.451540831,218.10012496,SSP1,Median,Mt Manure Mix
2,0.0,0.0,0.0,0.0,0.0,,,,156.14922539330286,217.58158088932902,236.41774073470327,245.0360784588491,244.34478025598017,SSP1,Upper CI,Mt Manure Mix
0,1141.3216238413086,456.97619527855477,1103.800293067718,1820.6517668811503,767.7783962469598,,,,-13.2950615626909,-10.975218171338486,-14.539610333468683,-12.449121293652695,-10.14317794977616,SSP1,Lower CI,kg CO2-eq/kg manure mix
1,1141.3216238413086,456.97619527855477,1103.800293067718,1820.6517668811503,767.7783962469598,,,,-7.762405267894383,-5.948374779694623,-6.925869343670512,-6.333631447072336,-5.629059614619895,SSP1,Median,kg CO2-eq/kg manure mix
2,1141.3216238413086,456.97619527855477,1103.800293067718,1820.6517668811503,767.7783962469598,,,,-4.9273471611104505,0.44533046350708094,-2.9767727750531066,-5.664943869916086,-4.886263988012969,SSP1,Upper CI,kg CO2-eq/kg manure mix
0,0.0,0.0,0.0,0.0,0.0,,,,-6.7635480383667455,-6.423011905019831,-6.4181230929161055,-6.441864296707224,-6.447390912295044,SSP1,Lower CI,kg CO2-eq/kg biochar no LUC
1,0.0,0.0,0.0,0.0,0.0,,,,-5.62129708013163,-5.945669115780857,-6.021523307842194,-6.048311938163086,-6.050049011386288,SSP1,Median,kg CO2-eq/kg biochar no LUC
2,0.0,0.0,0.0,0.0,0.0,,,,-4.5372099797416245,-5.432963692862111,-5.613802556168728,-5.626497903969484,-5.624409528083784,SSP1,Upper CI,kg CO2-eq/kg biochar no LUC
0,0.0,0.0,0.0,0.0,0.0,,,,-3.1621028938570985,-2.976043146498397,-2.978047118218377,-2.988851048564079,-2.9913294718463197,SSP1,Lower CI,kg CO2-eq/kg manure mix no LUC
1,0.0,0.0,0.0,0.0,0.0,,,,-2.628477247739101,-2.7802880593319235,-2.8140946469742607,-2.8258262069911657,-2.826358636181073,SSP1,Median,kg CO2-eq/kg manure mix no LUC
2,0.0,0.0,0.0,0.0,0.0,,,,-2.1212267090240973,-2.546773581235086,-2.628348244402726,-2.6334245919829624,-2.632071780306065,SSP1,Upper CI,kg CO2-eq/kg manure mix no LUC
