,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
88,0.0,0.0,0.0,0.0273849,0.0273849,,,,228.53852127906782,158.67422240402055,154.5658863233022,154.59979686887695,156.44129633117421,SSP1,Lower CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
88,0.0,0.0,0.0,0.0354564,0.0354564,,,,295.42999999999995,166.9011764705882,162.12235294117647,162.46411764705883,164.4970588235294,SSP1,Median,Africa_Eastern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
88,0.0,0.0,0.0,0.0273849,0.0273849,,,,404.35977937452685,230.38612361674063,201.4179232005073,205.2368978089942,217.269067814484,SSP1,Upper CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
440,0.0,0.0,0.0,0.0273849,0.0273849,,,,158.13236978521604,151.65610262460874,148.29799397435497,147.96225670315712,147.84709532682862,SSP1,Lower CI,Africa_Northern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
440,0.0,0.0,0.0,0.0354564,0.0354564,,,,166.8405882352941,154.59235294117647,153.1841176470588,152.8235294117647,152.69176470588235,SSP1,Median,Africa_Northern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
440,0.0,0.0,0.0,0.0273849,0.0273849,,,,188.64187858079697,174.2910254030729,166.62144580155544,165.72149679824346,165.28394108773713,SSP1,Upper CI,Africa_Northern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
792,0.0,0.0,0.0,0.0273849,0.0273849,,,,205.62554266687113,170.06652257152166,158.93788493184627,158.61747569507708,159.87160723450398,SSP1,Lower CI,Africa_Southern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
792,0.0,0.0,0.0,0.0354564,0.0354564,,,,248.97294117647056,171.70941176470586,164.32470588235293,164.1035294117647,166.23529411764704,SSP1,Median,Africa_Southern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
792,0.0,0.0,0.0,0.0273849,0.0273849,,,,331.02909785600474,213.80365043885888,193.33925792529664,193.26717416486684,199.25819668706458,SSP1,Upper CI,Africa_Southern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
1149,0.0,0.0,0.0,0.0273849,0.0273849,,,,203.13408059369766,159.87573733705653,151.88012521962318,151.79533175339458,151.4984261837463,SSP1,Lower CI,Africa_Western,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
1149,0.0,0.0,0.0,0.0354564,0.0354564,,,,249.91117647058823,160.89529411764704,156.87,156.70176470588234,157.08529411764704,SSP1,Median,Africa_Western,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
1149,0.0,0.0,0.0,0.0273849,0.0273849,,,,346.587357314799,189.27900314737258,182.39107926216954,182.05340774240364,185.62958502073548,SSP1,Upper CI,Africa_Western,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
1526,0.0,0.0,0.0,0.0273849,0.0273849,,,,154.9679654009043,159.09350013901792,156.70506177063902,156.26209436864463,156.22787694019166,SSP1,Lower CI,Argentina,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
1526,0.0,0.0,0.0,0.0354564,0.0354564,,,,185.4841176470588,162.11823529411765,161.67529411764707,161.61941176470586,161.60529411764708,SSP1,Median,Argentina,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
1526,0.0,0.0,0.0,0.0273849,0.0273849,,,,288.58288427229826,193.0883683730928,175.84838360751218,174.43958630362425,174.00315947437417,SSP1,Upper CI,Argentina,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
1884,0.0,0.0,0.0,0.0273849,0.0273849,,,,162.6034835775321,154.58724254643465,150.93163747524764,150.48515328913723,150.22684600321395,SSP1,Lower CI,Australia_NZ,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
1884,0.0,0.0,0.0,0.0354564,0.0354564,,,,170.63,156.72588235294117,155.37176470588236,155.00529411764705,154.82882352941178,SSP1,Median,Australia_NZ,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
1884,0.0,0.0,0.0,0.0273849,0.0273849,,,,184.31782361201036,173.65040451238883,166.85172386929017,165.9472836856527,165.4504088987468,SSP1,Upper CI,Australia_NZ,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
2253,0.0,0.0,0.0,0.0273849,0.0273849,,,,165.97413942840348,159.07888707166418,155.6175679500937,155.28668047746316,155.25000213545658,SSP1,Lower CI,Brazil,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
2253,0.0,0.0,0.0,0.0354564,0.0354564,,,,177.09823529411764,160.66176470588235,160.16882352941175,160.11529411764704,160.12411764705882,SSP1,Median,Brazil,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
2253,0.0,0.0,0.0,0.0273849,0.0273849,,,,208.42873638858993,181.52166656155381,172.61514913674097,171.66317946651435,171.41599226230247,SSP1,Upper CI,Brazil,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
2610,0.0,0.0,0.0,0.0273849,0.0273849,,,,256.04267427604026,159.4827752611265,156.5092834692608,156.6550453879844,156.63160886767534,SSP1,Lower CI,Canada,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
2610,0.0,0.0,0.0,0.0354564,0.0354564,,,,322.7,164.91823529411764,162.81529411764706,162.09176470588235,161.7635294117647,SSP1,Median,Canada,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
2610,0.0,0.0,0.0,0.0273849,0.0273849,,,,411.4396786651361,222.68331470427137,191.08813949992688,185.90411427588117,183.7281110202799,SSP1,Upper CI,Canada,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
2974,0.0,0.0,0.0,0.0273849,0.0273849,,,,174.597052552822,160.6179836695905,157.31425079400572,157.05880233142275,156.9274653026337,SSP1,Lower CI,Central America and Caribbean,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
2974,0.0,0.0,0.0,0.0354564,0.0354564,,,,183.22705882352938,163.39235294117645,162.49529411764703,162.3541176470588,162.2882352941176,SSP1,Median,Central America and Caribbean,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
2974,0.0,0.0,0.0,0.0273849,0.0273849,,,,197.73994091123024,183.90658380445797,175.8474859006721,175.08444696829716,174.6849156497473,SSP1,Upper CI,Central America and Caribbean,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
3320,0.0,0.0,0.0,0.0273849,0.0273849,,,,159.87807298329312,152.84492176547488,149.65952330066588,149.2878131893772,149.13040745358398,SSP1,Lower CI,Central Asia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
3320,0.0,0.0,0.0,0.0354564,0.0354564,,,,167.00411764705882,155.89588235294116,154.49117647058821,154.06882352941173,153.89117647058822,SSP1,Median,Central Asia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
3320,0.0,0.0,0.0,0.0273849,0.0273849,,,,181.82963943500755,174.69583948019985,167.51683524275145,166.5432232251887,165.99026481532354,SSP1,Upper CI,Central Asia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
3712,0.0,0.0,0.0,0.0273849,0.0273849,,,,160.12971511829417,152.5826345192779,148.46040715758338,147.83820619364792,147.50519713116284,SSP1,Lower CI,China,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
3712,0.0,0.0,0.0,0.0354564,0.0354564,,,,172.62235294117644,154.11235294117645,152.60588235294117,152.13647058823528,151.9270588235294,SSP1,Median,China,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
3712,0.0,0.0,0.0,0.0273849,0.0273849,,,,202.48806265948357,171.3957045810681,163.56805222617012,162.28902069710836,161.66146953550378,SSP1,Upper CI,China,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
4100,0.0,0.0,0.0,0.0273849,0.0273849,,,,160.1014437817151,156.9561781061808,154.22207841656396,153.85884601194786,153.6810437883049,SSP1,Lower CI,Colombia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
4100,0.0,0.0,0.0,0.0354564,0.0354564,,,,161.10529411764705,159.88411764705882,159.3970588235294,158.90882352941176,158.7394117647059,SSP1,Median,Colombia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
4100,0.0,0.0,0.0,0.0273849,0.0273849,,,,162.95646471501686,173.9561402329195,168.8696302669093,168.19112597684764,167.82993660385202,SSP1,Upper CI,Colombia,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
4464,0.0,0.0,0.0,0.0273849,0.0273849,,,,158.33758702528385,159.66023368198123,154.4549693435867,153.75165092684176,153.47809981792574,SSP1,Lower CI,EU-12,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
4464,0.0,0.0,0.0,0.0354564,0.0354564,,,,173.73529411764704,161.48,159.395294117647,158.69529411764705,158.3741176470588,SSP1,Median,EU-12,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
4464,0.0,0.0,0.0,0.0273849,0.0273849,,,,231.32842604661155,186.62696354985266,173.84783177686143,172.5982650395448,171.96139598039355,SSP1,Upper CI,EU-12,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
4857,0.0,0.0,0.0,0.0273849,0.0273849,,,,159.8933456227861,154.91448774817718,150.49180620579048,149.69486703074142,149.27561649674104,SSP1,Lower CI,EU-15,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
4857,0.0,0.0,0.0,0.0354564,0.0354564,,,,167.3635294117647,157.91,155.45117647058822,154.44176470588232,154.05823529411762,SSP1,Median,EU-15,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
4857,0.0,0.0,0.0,0.0273849,0.0273849,,,,184.22966091316155,178.27575446635564,169.78909015275295,168.5264775070736,167.6879689374326,SSP1,Upper CI,EU-15,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
5264,0.0,0.0,0.0,0.0273849,0.0273849,,,,193.3635077133938,162.79489631827133,159.17263343483557,158.55883834358104,158.31084017974612,SSP1,Lower CI,Europe_Eastern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
5264,0.0,0.0,0.0,0.0354564,0.0354564,,,,217.93764705882353,165.2135294117647,163.5964705882353,163.07235294117643,162.8505882352941,SSP1,Median,Europe_Eastern,missing,missing,missing,missing,missing,missing,biochar,missing,missing,missing,$/ton biochar
