,Unnamed: 0,region,GCAM_region_ID,GCAM_commodity,GCAM_subsector,GLU,Irr_Rfd,kg_bio_ha,kg_P_ha,cat,Version
0,1,USA,1,Corn,CornC4,GLU023,rfd,804.4108348376387,30.0819172430797,GLU023_CornC4_USA,Lower CI
0,1,USA,1,Corn,CornC4,GLU023,rfd,1789.06050281482,30.0819172430797,GLU023_CornC4_USA,Median
0,1,USA,1,Corn,CornC4,GLU023,rfd,2904.096723504441,30.0819172430797,GLU023_CornC4_USA,Upper CI
1,2,USA,1,Corn,CornC4,GLU096,rfd,804.4108348376387,30.0819172430797,GLU096_CornC4_USA,Lower CI
1,2,USA,1,Corn,CornC4,GLU096,rfd,1789.06050281482,30.0819172430797,GLU096_CornC4_USA,Median
1,2,USA,1,Corn,CornC4,GLU096,rfd,2904.096723504441,30.0819172430797,GLU096_CornC4_USA,Upper CI
2,3,USA,1,Corn,CornC4,GLU101,rfd,1025.7288493414912,20.4382253871198,GLU101_CornC4_USA,Lower CI
2,3,USA,1,Corn,CornC4,GLU101,rfd,1490.05941148479,25.0544036006799,GLU101_CornC4_USA,Median
2,3,USA,1,Corn,CornC4,GLU101,rfd,1845.5097067619622,25.62,GLU101_CornC4_USA,Upper CI
3,4,USA,1,Corn,CornC4,GLU217,rfd,804.4108348376387,30.0819172430797,GLU217_CornC4_USA,Lower CI
3,4,USA,1,Corn,CornC4,GLU217,rfd,1789.06050281482,30.0819172430797,GLU217_CornC4_USA,Median
3,4,USA,1,Corn,CornC4,GLU217,rfd,2904.096723504441,30.0819172430797,GLU217_CornC4_USA,Upper CI
4,5,USA,1,Corn,CornC4,GLU218,rfd,804.4108348376387,30.0819172430797,GLU218_CornC4_USA,Lower CI
4,5,USA,1,Corn,CornC4,GLU218,rfd,1789.06050281482,30.0819172430797,GLU218_CornC4_USA,Median
4,5,USA,1,Corn,CornC4,GLU218,rfd,2904.096723504441,30.0819172430797,GLU218_CornC4_USA,Upper CI
5,6,USA,1,Corn,CornC4,GLU219,rfd,804.4108348376387,30.0819172430797,GLU219_CornC4_USA,Lower CI
5,6,USA,1,Corn,CornC4,GLU219,rfd,1789.06050281482,30.0819172430797,GLU219_CornC4_USA,Median
5,6,USA,1,Corn,CornC4,GLU219,rfd,2904.096723504441,30.0819172430797,GLU219_CornC4_USA,Upper CI
6,7,USA,1,Corn,CornC4,GLU220,rfd,804.4108348376387,30.0819172430797,GLU220_CornC4_USA,Lower CI
6,7,USA,1,Corn,CornC4,GLU220,rfd,1789.06050281482,30.0819172430797,GLU220_CornC4_USA,Median
6,7,USA,1,Corn,CornC4,GLU220,rfd,2904.096723504441,30.0819172430797,GLU220_CornC4_USA,Upper CI
7,8,USA,1,Corn,CornC4,GLU221,rfd,804.4108348376335,30.0819172430797,GLU221_CornC4_USA,Lower CI
7,8,USA,1,Corn,CornC4,GLU221,rfd,1789.06050281481,30.0819172430797,GLU221_CornC4_USA,Median
7,8,USA,1,Corn,CornC4,GLU221,rfd,2904.0967235044395,30.0819172430797,GLU221_CornC4_USA,Upper CI
8,9,USA,1,Corn,CornC4,GLU222,rfd,804.4108348376387,30.0819172430797,GLU222_CornC4_USA,Lower CI
8,9,USA,1,Corn,CornC4,GLU222,rfd,1789.06050281482,30.0819172430797,GLU222_CornC4_USA,Median
8,9,USA,1,Corn,CornC4,GLU222,rfd,2904.096723504441,30.0819172430797,GLU222_CornC4_USA,Upper CI
9,10,USA,1,Corn,CornC4,GLU223,rfd,804.4108348376387,30.0819172430797,GLU223_CornC4_USA,Lower CI
9,10,USA,1,Corn,CornC4,GLU223,rfd,1789.06050281482,30.0819172430797,GLU223_CornC4_USA,Median
9,10,USA,1,Corn,CornC4,GLU223,rfd,2904.096723504441,30.0819172430797,GLU223_CornC4_USA,Upper CI
10,11,USA,1,Corn,CornC4,GLU224,rfd,804.4108348376387,30.0819172430797,GLU224_CornC4_USA,Lower CI
10,11,USA,1,Corn,CornC4,GLU224,rfd,1789.06050281482,30.0819172430797,GLU224_CornC4_USA,Median
10,11,USA,1,Corn,CornC4,GLU224,rfd,2904.096723504441,30.0819172430797,GLU224_CornC4_USA,Upper CI
11,12,USA,1,Corn,CornC4,GLU225,rfd,804.4108348376387,30.0819172430797,GLU225_CornC4_USA,Lower CI
11,12,USA,1,Corn,CornC4,GLU225,rfd,1789.06050281482,30.0819172430797,GLU225_CornC4_USA,Median
11,12,USA,1,Corn,CornC4,GLU225,rfd,2904.096723504441,30.0819172430797,GLU225_CornC4_USA,Upper CI
12,13,USA,1,Corn,CornC4,GLU226,rfd,804.4108348376387,30.0819172430797,GLU226_CornC4_USA,Lower CI
12,13,USA,1,Corn,CornC4,GLU226,rfd,1789.06050281482,30.0819172430797,GLU226_CornC4_USA,Median
12,13,USA,1,Corn,CornC4,GLU226,rfd,2904.096723504441,30.0819172430797,GLU226_CornC4_USA,Upper CI
13,14,USA,1,Corn,CornC4,GLU227,rfd,804.4108348376387,30.0819172430797,GLU227_CornC4_USA,Lower CI
13,14,USA,1,Corn,CornC4,GLU227,rfd,1789.06050281482,30.0819172430797,GLU227_CornC4_USA,Median
13,14,USA,1,Corn,CornC4,GLU227,rfd,2904.096723504441,30.0819172430797,GLU227_CornC4_USA,Upper CI
14,15,USA,1,Corn,CornC4,GLU228,rfd,804.4108348376387,30.0819172430797,GLU228_CornC4_USA,Lower CI
14,15,USA,1,Corn,CornC4,GLU228,rfd,1789.06050281482,30.0819172430797,GLU228_CornC4_USA,Median
14,15,USA,1,Corn,CornC4,GLU228,rfd,2904.096723504441,30.0819172430797,GLU228_CornC4_USA,Upper CI
15,16,USA,1,Corn,CornC4,GLU229,rfd,804.4108348376387,30.0819172430797,GLU229_CornC4_USA,Lower CI
15,16,USA,1,Corn,CornC4,GLU229,rfd,1789.06050281482,30.0819172430797,GLU229_CornC4_USA,Median
15,16,USA,1,Corn,CornC4,GLU229,rfd,2904.096723504441,30.0819172430797,GLU229_CornC4_USA,Upper CI
16,17,USA,1,Corn,CornC4,GLU230,rfd,804.4108348376387,30.0819172430797,GLU230_CornC4_USA,Lower CI
16,17,USA,1,Corn,CornC4,GLU230,rfd,1789.06050281482,30.0819172430797,GLU230_CornC4_USA,Median
16,17,USA,1,Corn,CornC4,GLU230,rfd,2904.096723504441,30.0819172430797,GLU230_CornC4_USA,Upper CI
17,18,USA,1,Corn,CornC4,GLU231,rfd,804.4108348376387,30.0819172430797,GLU231_CornC4_USA,Lower CI
17,18,USA,1,Corn,CornC4,GLU231,rfd,1789.06050281482,30.0819172430797,GLU231_CornC4_USA,Median
17,18,USA,1,Corn,CornC4,GLU231,rfd,2904.096723504441,30.0819172430797,GLU231_CornC4_USA,Upper CI
18,19,USA,1,Corn,CornC4,GLU232,rfd,804.4108348376387,30.0819172430797,GLU232_CornC4_USA,Lower CI
18,19,USA,1,Corn,CornC4,GLU232,rfd,1789.06050281482,30.0819172430797,GLU232_CornC4_USA,Median
18,19,USA,1,Corn,CornC4,GLU232,rfd,2904.096723504441,30.0819172430797,GLU232_CornC4_USA,Upper CI
