,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units,categorization
87,0.001,0.001,0.001,0.001,0.001,,,,31.40687612872901,-1.4979594015856446,-0.9951191876828318,-1.1781956239860119,-0.9079840425114014,SSP1,Lower CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,beef manure,missing,missing,missing,$/ton manure,Africa_Easternbeef manure
87,0.001,0.001,0.001,0.001,0.001,,,,61.49882352941176,3.694629411764706,2.6671941176470586,2.780535294117647,3.2917764705882346,SSP1,Median,Africa_Eastern,missing,missing,missing,missing,missing,missing,beef manure,missing,missing,missing,$/ton manure,Africa_Easternbeef manure
87,0.001,0.001,0.001,0.001,0.001,,,,112.07772125689192,30.994073865253462,19.191648711492356,20.868281786451,26.135989476685065,SSP1,Upper CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,beef manure,missing,missing,missing,$/ton manure,Africa_Easternbeef manure
111,0.001,0.001,0.001,0.001,0.001,,,,53.90680445526979,20.879383136597777,17.46911316769029,17.716765047754535,19.77403840280801,SSP1,Lower CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,dairy manure,missing,missing,missing,$/ton manure,Africa_Easterndairy manure
111,0.001,0.001,0.001,0.001,0.001,,,,86.05647058823529,26.585588235294114,21.335294117647056,21.722529411764704,24.03770588235294,SSP1,Median,Africa_Eastern,missing,missing,missing,missing,missing,missing,dairy manure,missing,missing,missing,$/ton manure,Africa_Easterndairy manure
111,0.001,0.001,0.001,0.001,0.001,,,,133.32792757087395,54.80335388762367,39.98352940934052,41.7359957365592,47.95636327786425,SSP1,Upper CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,dairy manure,missing,missing,missing,$/ton manure,Africa_Easterndairy manure
167,0.001,0.001,0.001,0.001,0.001,,,,41.93726153878817,3.376523637387919,1.8011704271929485,1.9659410873900551,3.3811725017071232,SSP1,Lower CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,goat manure,missing,missing,missing,$/ton manure,Africa_Easterngoat manure
167,0.001,0.001,0.001,0.001,0.001,,,,75.88823529411764,8.81441176470588,5.109688235294117,5.295211764705882,6.715411764705882,SSP1,Median,Africa_Eastern,missing,missing,missing,missing,missing,missing,goat manure,missing,missing,missing,$/ton manure,Africa_Easterngoat manure
167,0.001,0.001,0.001,0.001,0.001,,,,129.03752931088502,39.625090203442525,25.1280830181852,27.18304731597128,33.693288002494555,SSP1,Upper CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,goat manure,missing,missing,missing,$/ton manure,Africa_Easterngoat manure
194,0.001,0.001,0.001,0.001,0.001,,,,84.70820122640104,53.933333193681705,49.67325229379591,50.244672164698216,52.92057098351532,SSP1,Lower CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,pork manure,missing,missing,missing,$/ton manure,Africa_Easternpork manure
194,0.001,0.001,0.001,0.001,0.001,,,,124.33941176470586,59.74470588235294,54.141176470588235,54.745,57.46464705882352,SSP1,Median,Africa_Eastern,missing,missing,missing,missing,missing,missing,pork manure,missing,missing,missing,$/ton manure,Africa_Easternpork manure
194,0.001,0.001,0.001,0.001,0.001,,,,152.5701075971283,92.67769794818682,76.12361045130214,78.19325500617012,85.09673433861352,SSP1,Upper CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,pork manure,missing,missing,missing,$/ton manure,Africa_Easternpork manure
195,0.001,0.001,0.001,0.001,0.001,,,,45.17939003247835,14.026751388981143,10.610034513595004,11.014319793210989,13.365526157831352,SSP1,Lower CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,poultry manure,missing,missing,missing,$/ton manure,Africa_Easternpoultry manure
195,0.001,0.001,0.001,0.001,0.001,,,,84.55470588235293,19.993823529411763,14.43305882352941,15.03964705882353,17.77294117647059,SSP1,Median,Africa_Eastern,missing,missing,missing,missing,missing,missing,poultry manure,missing,missing,missing,$/ton manure,Africa_Easternpoultry manure
195,0.001,0.001,0.001,0.001,0.001,,,,112.81035702634517,49.73561885323339,34.11428705503244,36.23349925440806,43.18953602704259,SSP1,Upper CI,Africa_Eastern,missing,missing,missing,missing,missing,missing,poultry manure,missing,missing,missing,$/ton manure,Africa_Easternpoultry manure
439,0.001,0.001,0.001,0.001,0.001,,,,3.1477637615010527,0.24838277239623885,0.06069766119971076,-0.05396812443039556,-0.07812386994037768,SSP1,Lower CI,Africa_Northern,missing,missing,missing,missing,missing,missing,beef manure,missing,missing,missing,$/ton manure,Africa_Northernbeef manure
439,0.001,0.001,0.001,0.001,0.001,,,,7.27964705882353,2.3140294117647056,1.567764705882353,1.3738117647058823,1.3020941176470586,SSP1,Median,Africa_Northern,missing,missing,missing,missing,missing,missing,beef manure,missing,missing,missing,$/ton manure,Africa_Northernbeef manure
439,0.001,0.001,0.001,0.001,0.001,,,,17.766317284250583,9.431484148018985,6.390098305186845,5.9057629143463615,5.664388407755505,SSP1,Upper CI,Africa_Northern,missing,missing,missing,missing,missing,missing,beef manure,missing,missing,missing,$/ton manure,Africa_Northernbeef manure
463,0.001,0.001,0.001,0.001,0.001,,,,29.55137419257306,17.900781969103676,13.55908602678172,11.927797717205696,11.26610646237797,SSP1,Lower CI,Africa_Northern,missing,missing,missing,missing,missing,missing,dairy manure,missing,missing,missing,$/ton manure,Africa_Northerndairy manure
463,0.001,0.001,0.001,0.001,0.001,,,,38.25629411764705,22.047882352941173,16.51735294117647,14.729117647058823,13.997529411764706,SSP1,Median,Africa_Northern,missing,missing,missing,missing,missing,missing,dairy manure,missing,missing,missing,$/ton manure,Africa_Northerndairy manure
463,0.001,0.001,0.001,0.001,0.001,,,,48.668285938145885,34.87682495131154,26.375718455010997,24.38189303909682,23.476950120255083,SSP1,Upper CI,Africa_Northern,missing,missing,missing,missing,missing,missing,dairy manure,missing,missing,missing,$/ton manure,Africa_Northerndairy manure
519,0.001,0.001,0.001,0.001,0.001,,,,10.707324960041532,1.6963712296104765,1.0813200867386437,0.8019292622274907,0.7156853210508616,SSP1,Lower CI,Africa_Northern,missing,missing,missing,missing,missing,missing,goat manure,missing,missing,missing,$/ton manure,Africa_Northerngoat manure
519,0.001,0.001,0.001,0.001,0.001,,,,16.998117647058823,4.0275,2.823747058823529,2.5035882352941172,2.3868941176470586,SSP1,Median,Africa_Northern,missing,missing,missing,missing,missing,missing,goat manure,missing,missing,missing,$/ton manure,Africa_Northerngoat manure
519,0.001,0.001,0.001,0.001,0.001,,,,28.038539092246047,13.425839358624817,9.222412798415416,8.477761942254302,8.139003306400118,SSP1,Upper CI,Africa_Northern,missing,missing,missing,missing,missing,missing,goat manure,missing,missing,missing,$/ton manure,Africa_Northerngoat manure
546,0.001,0.001,0.001,0.001,0.001,,,,125.69068450600409,113.16650053674672,107.1118544760182,105.31832480021754,104.64989811064729,SSP1,Lower CI,Africa_Northern,missing,missing,missing,missing,missing,missing,pork manure,missing,missing,missing,$/ton manure,Africa_Northernpork manure
546,0.001,0.001,0.001,0.001,0.001,,,,135.39,117.8170588235294,111.83470588235295,109.99764705882352,109.34529411764706,SSP1,Median,Africa_Northern,missing,missing,missing,missing,missing,missing,pork manure,missing,missing,missing,$/ton manure,Africa_Northernpork manure
546,0.001,0.001,0.001,0.001,0.001,,,,146.47023052667564,126.7904847573709,118.0362043475112,116.14632225860595,115.46345483052914,SSP1,Upper CI,Africa_Northern,missing,missing,missing,missing,missing,missing,pork manure,missing,missing,missing,$/ton manure,Africa_Northernpork manure
547,0.001,0.001,0.001,0.001,0.001,,,,1.9190204238007347,-0.06940477709729898,-0.09356477899350235,-0.17494162148259917,-0.18749887827867795,SSP1,Lower CI,Africa_Northern,missing,missing,missing,missing,missing,missing,poultry manure,missing,missing,missing,$/ton manure,Africa_Northernpoultry manure
547,0.001,0.001,0.001,0.001,0.001,,,,5.32095294117647,1.8719588235294118,1.2590470588235292,1.1036764705882351,1.0460588235294117,SSP1,Median,Africa_Northern,missing,missing,missing,missing,missing,missing,poultry manure,missing,missing,missing,$/ton manure,Africa_Northernpoultry manure
547,0.001,0.001,0.001,0.001,0.001,,,,15.29991944548031,8.20062609197619,5.598190325211989,5.16809887638456,4.950127785841703,SSP1,Upper CI,Africa_Northern,missing,missing,missing,missing,missing,missing,poultry manure,missing,missing,missing,$/ton manure,Africa_Northernpoultry manure
791,0.001,0.001,0.001,0.001,0.001,,,,19.427627597392007,1.927191639900835,-0.023628363736840186,-0.1302332717054746,-0.19429244731101747,SSP1,Lower CI,Africa_Southern,missing,missing,missing,missing,missing,missing,beef manure,missing,missing,missing,$/ton manure,Africa_Southernbeef manure
791,0.001,0.001,0.001,0.001,0.001,,,,38.441294117647054,3.6249470588235293,2.401864705882353,2.3532823529411764,2.6788117647058822,SSP1,Median,Africa_Southern,missing,missing,missing,missing,missing,missing,beef manure,missing,missing,missing,$/ton manure,Africa_Southernbeef manure
791,0.001,0.001,0.001,0.001,0.001,,,,76.54947044182367,20.68905645698498,13.92697217326065,13.947837977587826,16.385452559355834,SSP1,Upper CI,Africa_Southern,missing,missing,missing,missing,missing,missing,beef manure,missing,missing,missing,$/ton manure,Africa_Southernbeef manure
815,0.001,0.001,0.001,0.001,0.001,,,,54.58292523200954,34.749463284423825,28.02515831870112,27.655657763469854,29.218315184191137,SSP1,Lower CI,Africa_Southern,missing,missing,missing,missing,missing,missing,dairy manure,missing,missing,missing,$/ton manure,Africa_Southerndairy manure
815,0.001,0.001,0.001,0.001,0.001,,,,76.57647058823528,38.15858823529412,31.759647058823532,31.351823529411764,33.16164705882353,SSP1,Median,Africa_Southern,missing,missing,missing,missing,missing,missing,dairy manure,missing,missing,missing,$/ton manure,Africa_Southerndairy manure
815,0.001,0.001,0.001,0.001,0.001,,,,112.3061858791015,58.48192079862116,46.87075204544453,46.54091926734245,49.81797613233546,SSP1,Upper CI,Africa_Southern,missing,missing,missing,missing,missing,missing,dairy manure,missing,missing,missing,$/ton manure,Africa_Southerndairy manure
871,0.001,0.001,0.001,0.001,0.001,,,,38.44891433078827,16.73445195763494,9.523983036352519,9.256909821266907,11.054290536100666,SSP1,Lower CI,Africa_Southern,missing,missing,missing,missing,missing,missing,goat manure,missing,missing,missing,$/ton manure,Africa_Southerngoat manure
