,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,LandLeaf,Units
0,988.6151978123121,747.477339138578,733.716730408358,766.018054361718,806.199253075147,,,,-5.144048845542194,-11.173469561602566,-7.0165766454774605,-6.420611792068547,-6.332418259768633,SSP1,Lower CI,Animal Feed,Land Use Change (thousand km$^2$)
1,988.6151978123121,747.477339138578,733.716730408358,766.018054361718,806.199253075147,,,,-4.929107327972582,-6.3688298871169735,-6.431777480648607,-6.385929863647297,-6.26384800696991,SSP1,Median,Animal Feed,Land Use Change (thousand km$^2$)
2,988.6151978123121,747.477339138578,733.716730408358,766.018054361718,806.199253075147,,,,-4.353947206199834,-4.574539313926498,-5.878049471579139,-5.9785246178874445,-5.953460793080581,SSP1,Upper CI,Animal Feed,Land Use Change (thousand km$^2$)
21,0.0,0.0,0.0,0.0,0.0,,,,-92.98903583034347,-115.87604635084988,-139.02990693325614,-118.46642047831307,-115.29353277717344,SSP1,Lower CI,Biomass for Energy,Land Use Change (thousand km$^2$)
22,0.0,0.0,0.0,0.0,0.0,,,,-80.34572716538506,-100.40683151027376,-127.0801180436071,-113.86446954693787,-111.64670495661728,SSP1,Median,Biomass for Energy,Land Use Change (thousand km$^2$)
23,0.0,0.0,0.0,0.0,0.0,,,,-73.24006763960095,-82.9481881230656,-95.22707251688331,-105.3160227967654,-104.62371738052933,SSP1,Upper CI,Biomass for Energy,Land Use Change (thousand km$^2$)
42,9936.050689726064,10318.529769889341,10685.89692615617,11264.300971712533,11709.37936136305,,,,507.2591981448892,229.74863840222238,375.7055957584824,409.93019507045557,411.55270219913376,SSP1,Lower CI,Crops,Land Use Change (thousand km$^2$)
43,9936.050689726064,10318.529769889341,10685.89692615617,11264.300971712533,11709.37936136305,,,,537.8910070612459,405.1543277395449,415.0182040771312,436.89458000338016,424.21064238777086,SSP1,Median,Crops,Land Use Change (thousand km$^2$)
44,9936.050689726064,10318.529769889341,10685.89692615617,11264.300971712533,11709.37936136305,,,,606.1526479926621,642.4511457281159,472.6084310519008,476.29374410113525,450.14545958553816,SSP1,Upper CI,Crops,Land Use Change (thousand km$^2$)
63,30224.606068203,30042.83751948,29965.8445484179,29787.1695188179,29929.1906008253,,,,-130.00947756155966,-131.10147912142605,-88.04478243234914,-100.60942929994236,-94.750024201902,SSP1,Lower CI,Forest,Land Use Change (thousand km$^2$)
64,30224.606068203,30042.83751948,29965.8445484179,29787.1695188179,29929.1906008253,,,,-116.15661386059998,-76.28394741880109,-73.17327721410015,-83.35438065270009,-81.15333499109965,SSP1,Median,Forest,Land Use Change (thousand km$^2$)
65,30224.606068203,30042.83751948,29965.8445484179,29787.1695188179,29929.1906008253,,,,-109.83862465306318,-35.94049088764604,-39.21977374062167,-39.03879215594414,-49.676113823973715,SSP1,Upper CI,Forest,Land Use Change (thousand km$^2$)
