,Crop,MGMT,Version,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,Units,cat
0,Animal Feed,Biochar Application,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,thous km2,Animal FeedBiochar Application
1,Animal Feed,Biochar Application,Median,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,thous km2,Animal FeedBiochar Application
2,Animal Feed,Biochar Application,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,thous km2,Animal FeedBiochar Application
21,Animal Feed,High Intensity,Lower CI,494.307598906156,373.738669569289,366.858365204179,383.009027180859,415.69648989424,,,,479.8833233492748,476.6997970765594,474.3319692982711,473.33962460602936,467.1471349523234,thous km2,Animal FeedHigh Intensity
22,Animal Feed,High Intensity,Median,494.307598906156,373.738669569289,366.858365204179,383.009027180859,415.69648989424,,,,480.000591879645,481.009848037958,474.9171491179856,473.6298386483675,467.2975570985042,thous km2,Animal FeedHigh Intensity
23,Animal Feed,High Intensity,Upper CI,494.307598906156,373.738669569289,366.858365204179,383.009027180859,415.69648989424,,,,482.0150617652799,484.5066010190398,476.09667524353443,474.570945732391,467.8730128095641,thous km2,Animal FeedHigh Intensity
42,Animal Feed,Low Intensity,Lower CI,494.307598906156,373.738669569289,366.858365204179,383.009027180859,390.502763180907,,,,379.42193175560544,368.3313323268866,360.59909493346487,356.7401399523044,354.44604008825485,thous km2,Animal FeedLow Intensity
43,Animal Feed,Low Intensity,Median,494.307598906156,373.738669569289,366.858365204179,383.009027180859,390.502763180907,,,,380.8479204201044,370.8458452480711,361.5512987395875,357.4440489473008,354.9178574029806,thous km2,Animal FeedLow Intensity
44,Animal Feed,Low Intensity,Upper CI,494.307598906156,373.738669569289,366.858365204179,383.009027180859,390.502763180907,,,,381.0877017839806,371.6936373314513,361.8906380834514,357.8503518340681,355.08661038743827,,Animal FeedLow Intensity
63,Biomass for Energy,High Intensity,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,945.7481285498236,1382.045083997239,1823.3591599375495,2069.67746653318,2093.709760520731,,Biomass for EnergyHigh Intensity
64,Biomass for Energy,High Intensity,Median,0.0,0.0,0.0,0.0,0.0,,,,952.550792097803,1390.900512787165,1834.3061564980844,2072.997455162845,2096.0036449123336,,Biomass for EnergyHigh Intensity
65,Biomass for Energy,High Intensity,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,955.5483846891022,1399.9650102789278,1863.2463433403555,2081.3489132076998,2102.233346876379,,Biomass for EnergyHigh Intensity
84,Biomass for Energy,Low Intensity,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,718.5425062015294,926.2073417081983,1120.9615113502368,1147.2056538312916,1146.132083525821,,Biomass for EnergyLow Intensity
85,Biomass for Energy,Low Intensity,Median,0.0,0.0,0.0,0.0,0.0,,,,724.4883013658622,932.622612427425,1123.5016316950844,1150.6012090904871,1149.088973490885,,Biomass for EnergyLow Intensity
86,Biomass for Energy,Low Intensity,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,728.7015183477007,941.6920395794484,1127.2850686816537,1152.9117907532911,1151.497768996271,,Biomass for EnergyLow Intensity
105,Corn,Biochar Application,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,44.88995370593916,66.79578443204281,75.1089716314685,77.72054072126528,76.96477192379183,,CornBiochar Application
106,Corn,Biochar Application,Median,0.0,0.0,0.0,0.0,0.0,,,,61.84500072480516,78.40817766166549,85.26655877315487,88.92427885359703,88.49722197357009,,CornBiochar Application
107,Corn,Biochar Application,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,70.56649454858287,88.87961817264298,94.35299815152604,98.00587400001757,97.04674325232546,,CornBiochar Application
126,Corn,High Intensity,Lower CI,576.855543102963,625.276673007107,682.23868606974,754.030931453156,812.0432219897679,,,,832.7258193040853,875.8472580331091,915.3000230730258,937.8422239655633,938.3134594784223,,CornHigh Intensity
127,Corn,High Intensity,Median,576.855543102963,625.276673007107,682.23868606974,754.030931453156,812.0432219897679,,,,842.951764143142,893.7665398913066,925.2074535872814,943.5659535721924,945.2461675400338,,CornHigh Intensity
128,Corn,High Intensity,Upper CI,576.855543102963,625.276673007107,682.23868606974,754.030931453156,812.0432219897679,,,,861.9581260048643,914.0516331695413,935.5292489345936,956.9640098388518,955.7457398221082,,CornHigh Intensity
147,Corn,Low Intensity,Lower CI,576.855543102963,625.276673007107,682.23868566974,754.030931453156,764.9800747272177,,,,696.0420848328516,696.8884129922366,699.7811948646508,699.8636279810115,697.1888115541176,,CornLow Intensity
