,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units,categorization
153,0.02755,0.02755,0.02755,0.02755,0.02755,,,,148.7139396062829,152.17194724923996,148.11405216758016,147.78419137202394,147.63203305517365,SSP1,Lower CI,USA,biochar,slow pyrolysis,beef_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,USAbeef_biochar
153,0.03565,0.03565,0.03565,0.03565,0.03565,,,,159.92235294117646,153.61470588235292,152.49705882352941,152.15705882352938,152.00529411764705,SSP1,Median,USA,biochar,slow pyrolysis,beef_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,USAbeef_biochar
153,0.02755,0.02755,0.02755,0.02755,0.02755,,,,198.58854405384778,171.90355448086382,163.29323074558505,162.54477221341023,162.1914403341821,SSP1,Upper CI,USA,biochar,slow pyrolysis,beef_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,USAbeef_biochar
154,0.029725,0.029725,0.029725,0.029725,0.029725,,,,219.39521688260717,204.89019390229075,192.9129390425117,189.2868385952142,187.350955616376,SSP1,Lower CI,USA,biochar,slow pyrolysis,dairy_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,USAdairy_biochar
154,0.038525,0.038525,0.038525,0.038525,0.038525,,,,243.02529411764704,209.75352941176467,199.30999999999997,195.2870588235294,193.17470588235292,SSP1,Median,USA,biochar,slow pyrolysis,dairy_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,USAdairy_biochar
154,0.029725,0.029725,0.029725,0.029725,0.029725,,,,284.80321448994175,243.25838741258812,221.02773322639587,216.577475130276,214.3256830390861,SSP1,Upper CI,USA,biochar,slow pyrolysis,dairy_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,USAdairy_biochar
155,0.026255,0.026255,0.026255,0.026255,0.026255,,,,273.0181346001282,256.39746058479767,244.69095497369145,242.13657602452872,241.44053478631474,SSP1,Lower CI,USA,biochar,slow pyrolysis,goat_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,USAgoat_biochar
155,0.034055,0.034055,0.034055,0.034055,0.034055,,,,296.50882352941176,263.81,254.56705882352938,251.8070588235294,251.0411764705882,SSP1,Median,USA,biochar,slow pyrolysis,goat_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,USAgoat_biochar
155,0.026255,0.026255,0.026255,0.026255,0.026255,,,,338.4221268377803,304.24911380966597,281.30372289745713,277.9995024068438,277.04461927530986,SSP1,Upper CI,USA,biochar,slow pyrolysis,goat_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,USAgoat_biochar
156,0.027336,0.027336,0.027336,0.027336,0.027336,,,,197.0144646924721,183.308437277447,171.43853221090126,167.83933533579827,166.0327904120007,SSP1,Lower CI,USA,biochar,slow pyrolysis,pork_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,USApork_biochar
156,0.035336,0.035336,0.035336,0.035336,0.035336,,,,220.38470588235296,187.09117647058824,176.60764705882352,172.6435294117647,170.68235294117645,SSP1,Median,USA,biochar,slow pyrolysis,pork_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,USApork_biochar
156,0.027336,0.027336,0.027336,0.027336,0.027336,,,,262.17220197419465,217.4901094353557,196.37132773307644,192.1732136838095,190.098302024974,SSP1,Upper CI,USA,biochar,slow pyrolysis,pork_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,USApork_biochar
157,0.027239,0.027239,0.027239,0.027239,0.027239,,,,146.45693407361446,150.11073422588964,146.11124310709582,145.78525091194646,145.62828050362913,SSP1,Lower CI,USA,biochar,slow pyrolysis,poultry_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,USApoultry_biochar
157,0.035239,0.035239,0.035239,0.035239,0.035239,,,,157.36058823529407,151.44882352941175,150.40176470588236,150.07588235294116,149.92588235294116,SSP1,Median,USA,biochar,slow pyrolysis,poultry_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,USApoultry_biochar
157,0.027239,0.027239,0.027239,0.027239,0.027239,,,,194.9105169067776,168.870303836394,160.74875689290414,160.0187827014989,159.66303602298154,SSP1,Upper CI,USA,biochar,slow pyrolysis,poultry_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,USApoultry_biochar
1988,0.02755,0.02755,0.02755,0.02755,0.02755,,,,216.93640504907756,149.1243268395695,147.16447601681605,146.8497523010235,147.59148967127274,SSP1,Lower CI,Africa_Eastern,biochar,slow pyrolysis,beef_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Easternbeef_biochar
1988,0.03565,0.03565,0.03565,0.03565,0.03565,,,,281.6341176470588,157.35529411764705,155.14647058823527,155.39,156.48882352941177,SSP1,Median,Africa_Eastern,biochar,slow pyrolysis,beef_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Easternbeef_biochar
1988,0.02755,0.02755,0.02755,0.02755,0.02755,,,,390.378627630661,218.88280118811218,191.9852158599347,195.53669027600722,206.72598932032392,SSP1,Upper CI,Africa_Eastern,biochar,slow pyrolysis,beef_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Easternbeef_biochar
1989,0.029725,0.029725,0.029725,0.029725,0.029725,,,,286.50959135708604,212.6942797527288,201.7072845266763,202.3572231286289,207.26991539238153,SSP1,Lower CI,Africa_Eastern,biochar,slow pyrolysis,dairy_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Easterndairy_biochar
1989,0.038525,0.038525,0.038525,0.038525,0.038525,,,,361.2576470588235,222.98823529411763,210.78117647058824,211.6811764705882,217.0641176470588,SSP1,Median,Africa_Eastern,biochar,slow pyrolysis,dairy_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Easterndairy_biochar
1989,0.029725,0.029725,0.029725,0.029725,0.029725,,,,471.1647877278813,292.12828080090435,255.7796622520351,259.86765082095087,274.23042074207234,SSP1,Upper CI,Africa_Eastern,biochar,slow pyrolysis,dairy_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Easterndairy_biochar
1990,0.026255,0.026255,0.026255,0.026255,0.026255,,,,228.5340578875739,152.26764948826735,146.11151901922057,146.5468198421748,149.66706504776093,SSP1,Lower CI,Africa_Eastern,biochar,slow pyrolysis,goat_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Easterngoat_biochar
1990,0.034055,0.034055,0.034055,0.034055,0.034055,,,,298.3035294117647,160.46647058823527,152.8535294117647,153.23470588235293,156.1529411764706,SSP1,Median,Africa_Eastern,biochar,slow pyrolysis,goat_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Easterngoat_biochar
1990,0.026255,0.026255,0.026255,0.026255,0.026255,,,,407.52515779870055,226.5658453214212,195.15632411803426,199.37519696454788,212.63601618473203,SSP1,Upper CI,Africa_Eastern,biochar,slow pyrolysis,goat_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Easterngoat_biochar
1991,0.027336,0.027336,0.027336,0.027336,0.027336,,,,338.8827793701463,265.1097454291138,253.25971244061017,254.5279466035622,260.3642991750313,SSP1,Lower CI,Africa_Eastern,biochar,slow pyrolysis,pork_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Easternpork_biochar
1991,0.035336,0.035336,0.035336,0.035336,0.035336,,,,413.82470588235293,275.84999999999997,263.88117647058823,265.1705882352941,270.98,SSP1,Median,Africa_Eastern,biochar,slow pyrolysis,pork_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Easternpork_biochar
1991,0.027336,0.027336,0.027336,0.027336,0.027336,,,,523.411599714821,349.11765941517683,312.2588869991657,316.6569833684265,331.26130306586504,SSP1,Upper CI,Africa_Eastern,biochar,slow pyrolysis,pork_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Easternpork_biochar
1992,0.027239,0.027239,0.027239,0.027239,0.027239,,,,253.91872586579015,180.72630059512989,170.5543017872672,171.48928878654945,176.63765082794924,SSP1,Lower CI,Africa_Eastern,biochar,slow pyrolysis,poultry_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Easternpoultry_biochar
1992,0.035239,0.035239,0.035239,0.035239,0.035239,,,,328.51,190.41411764705882,178.51941176470586,179.81705882352938,185.6635294117647,SSP1,Median,Africa_Eastern,biochar,slow pyrolysis,poultry_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Easternpoultry_biochar
1992,0.027239,0.027239,0.027239,0.027239,0.027239,,,,438.3611434152556,257.2521769135206,221.99270101385315,226.5568176560275,241.38963208521608,SSP1,Upper CI,Africa_Eastern,biochar,slow pyrolysis,poultry_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Easternpoultry_biochar
2748,0.02755,0.02755,0.02755,0.02755,0.02755,,,,156.17933954309404,151.523868189571,147.9328507793332,147.57223789499622,147.4481731957532,SSP1,Lower CI,Africa_Northern,biochar,slow pyrolysis,beef_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Northernbeef_biochar
2748,0.03565,0.03565,0.03565,0.03565,0.03565,,,,165.0629411764706,154.3870588235294,152.78235294117644,152.36529411764704,152.21117647058824,SSP1,Median,Africa_Northern,biochar,slow pyrolysis,beef_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Northernbeef_biochar
2748,0.02755,0.02755,0.02755,0.02755,0.02755,,,,187.60941862684058,173.79370966510024,165.92922204979834,165.0012635055639,164.5494178406613,SSP1,Upper CI,Africa_Northern,biochar,slow pyrolysis,beef_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Northernbeef_biochar
2749,0.029725,0.029725,0.029725,0.029725,0.029725,,,,229.88334233033123,204.7708933135696,192.08512538302048,188.29770202092294,186.7255477829243,SSP1,Lower CI,Africa_Northern,biochar,slow pyrolysis,dairy_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Northerndairy_biochar
2749,0.038525,0.038525,0.038525,0.038525,0.038525,,,,250.12235294117647,212.4376470588235,199.57941176470587,195.42176470588234,193.72058823529412,SSP1,Median,Africa_Northern,biochar,slow pyrolysis,dairy_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Northerndairy_biochar
2749,0.029725,0.029725,0.029725,0.029725,0.029725,,,,274.3302524409106,246.59118281099782,224.66820795031273,220.0503091835589,217.96660907982073,SSP1,Upper CI,Africa_Northern,biochar,slow pyrolysis,dairy_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Northerndairy_biochar
2750,0.026255,0.026255,0.026255,0.026255,0.026255,,,,164.35643743799963,147.71069269643914,143.48686068226152,142.81322673630197,142.5764633911004,SSP1,Lower CI,Africa_Northern,biochar,slow pyrolysis,goat_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Northerngoat_biochar
2750,0.034055,0.034055,0.034055,0.034055,0.034055,,,,177.28411764705882,150.62941176470588,148.15588235294118,147.4976470588235,147.25823529411764,SSP1,Median,Africa_Northern,biochar,slow pyrolysis,goat_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Northerngoat_biochar
2750,0.026255,0.026255,0.026255,0.026255,0.026255,,,,199.97219001298075,173.54937650771308,163.57129057824267,162.14005057462234,161.4980464128211,SSP1,Upper CI,Africa_Northern,biochar,slow pyrolysis,goat_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Northerngoat_biochar
2751,0.027336,0.027336,0.027336,0.027336,0.027336,,,,416.71060689363975,384.2321460768913,370.22191026365596,366.46009296081144,365.1153664072709,SSP1,Lower CI,Africa_Northern,biochar,slow pyrolysis,pork_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Northernpork_biochar
2751,0.035336,0.035336,0.035336,0.035336,0.035336,,,,437.42823529411766,399.8929411764705,387.11470588235295,383.19,381.7970588235294,SSP1,Median,Africa_Northern,biochar,slow pyrolysis,pork_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Northernpork_biochar
2751,0.027336,0.027336,0.027336,0.027336,0.027336,,,,461.09579833511845,459.8463314317592,432.11859393802473,427.75380059661137,425.98939549749105,SSP1,Upper CI,Africa_Northern,biochar,slow pyrolysis,pork_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Northernpork_biochar
2752,0.027239,0.027239,0.027239,0.027239,0.027239,,,,151.75206083192987,148.8955103156173,145.69342569486773,145.39907229426427,145.2960663299749,SSP1,Lower CI,Africa_Northern,biochar,slow pyrolysis,poultry_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Northernpoultry_biochar
2752,0.035239,0.035239,0.035239,0.035239,0.035239,,,,159.02882352941174,151.65117647058824,150.33999999999997,150.00764705882352,149.88470588235293,SSP1,Median,Africa_Northern,biochar,slow pyrolysis,poultry_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Northernpoultry_biochar
2752,0.027239,0.027239,0.027239,0.027239,0.027239,,,,180.37369080205698,169.4082959127564,162.54915133594463,161.74804255167408,161.3528972554593,SSP1,Upper CI,Africa_Northern,biochar,slow pyrolysis,poultry_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Northernpoultry_biochar
3516,0.02755,0.02755,0.02755,0.02755,0.02755,,,,191.18124441060138,156.52171729813244,148.9238354700363,148.71476427475054,148.7617508871796,SSP1,Lower CI,Africa_Southern,biochar,slow pyrolysis,beef_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Southernbeef_biochar
3516,0.03565,0.03565,0.03565,0.03565,0.03565,,,,232.0605882352941,157.20529411764704,154.57588235294116,154.47117647058823,155.17117647058822,SSP1,Median,Africa_Southern,biochar,slow pyrolysis,beef_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Southernbeef_biochar
3516,0.02755,0.02755,0.02755,0.02755,0.02755,,,,313.99300395541167,197.7741304527326,180.96036621063598,181.0081488905155,186.09623230609768,SSP1,Upper CI,Africa_Southern,biochar,slow pyrolysis,beef_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Southernbeef_biochar
3517,0.029725,0.029725,0.029725,0.029725,0.029725,,,,288.08208596086456,244.3465351707698,225.85787341076903,225.0577235038101,228.782985566442,SSP1,Lower CI,Africa_Southern,biochar,slow pyrolysis,dairy_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Southerndairy_biochar
3517,0.038525,0.038525,0.038525,0.038525,0.038525,,,,339.2176470588235,249.895294117647,235.0176470588235,234.06941176470588,238.27705882352936,SSP1,Median,Africa_Southern,biochar,slow pyrolysis,dairy_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Southerndairy_biochar
3517,0.029725,0.029725,0.029725,0.029725,0.029725,,,,422.2883715554751,302.42121569428195,271.9635831718637,271.2698395214,278.90031975568667,SSP1,Upper CI,Africa_Southern,biochar,slow pyrolysis,dairy_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Southerndairy_biochar
3518,0.026255,0.026255,0.026255,0.026255,0.026255,,,,221.36561039385265,179.46564697570196,161.99795123230868,161.5192410796105,165.2740232259713,SSP1,Lower CI,Africa_Southern,biochar,slow pyrolysis,goat_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Southerngoat_biochar
3518,0.034055,0.034055,0.034055,0.034055,0.034055,,,,271.80352941176466,182.47588235294114,167.82529411764705,167.25235294117647,171.98999999999998,SSP1,Median,Africa_Southern,biochar,slow pyrolysis,goat_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Southerngoat_biochar
3518,0.026255,0.026255,0.026255,0.026255,0.026255,,,,354.7406641159512,228.49103122499005,200.86244092455402,200.70384015288246,208.9580776143648,SSP1,Upper CI,Africa_Southern,biochar,slow pyrolysis,goat_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Southerngoat_biochar
3519,0.027336,0.027336,0.027336,0.027336,0.027336,,,,266.4815829092096,222.44437642096315,204.7125289855472,204.18382271481028,208.07401947159812,SSP1,Lower CI,Africa_Southern,biochar,slow pyrolysis,pork_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Southernpork_biochar
3519,0.035336,0.035336,0.035336,0.035336,0.035336,,,,317.73764705882354,228.28941176470587,213.44235294117644,212.75058823529412,217.38764705882352,SSP1,Median,Africa_Southern,biochar,slow pyrolysis,pork_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Southernpork_biochar
3519,0.027336,0.027336,0.027336,0.027336,0.027336,,,,400.5961948685681,277.99209416727217,248.5546418828001,248.17690557650627,256.3143278673374,SSP1,Upper CI,Africa_Southern,biochar,slow pyrolysis,pork_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Southernpork_biochar
3520,0.027239,0.027239,0.027239,0.027239,0.027239,,,,216.76985149339532,172.8605551032074,156.5277163611385,156.14118007451913,158.4942702209328,SSP1,Lower CI,Africa_Southern,biochar,slow pyrolysis,poultry_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Southernpoultry_biochar
3520,0.035239,0.035239,0.035239,0.035239,0.035239,,,,264.865294117647,175.01764705882354,160.13529411764705,159.84588235294117,163.11470588235295,SSP1,Median,Africa_Southern,biochar,slow pyrolysis,poultry_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Southernpoultry_biochar
3520,0.027239,0.027239,0.027239,0.027239,0.027239,,,,347.1611288987615,221.01293970648112,194.691499325136,194.48671908514473,201.3626485465742,SSP1,Upper CI,Africa_Southern,biochar,slow pyrolysis,poultry_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Southernpoultry_biochar
4303,0.02755,0.02755,0.02755,0.02755,0.02755,,,,195.49365833814434,156.5395114796037,149.7391589257336,149.65374670306144,149.23530040107678,SSP1,Lower CI,Africa_Western,biochar,slow pyrolysis,beef_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Westernbeef_biochar
4303,0.03565,0.03565,0.03565,0.03565,0.03565,,,,240.57529411764702,157.54588235294113,154.92823529411766,154.7676470588235,155.13764705882352,SSP1,Median,Africa_Western,biochar,slow pyrolysis,beef_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Westernbeef_biochar
4303,0.02755,0.02755,0.02755,0.02755,0.02755,,,,337.21810636773796,183.43259924703986,178.35938449163336,178.04037094399737,181.53215057931536,SSP1,Upper CI,Africa_Western,biochar,slow pyrolysis,beef_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Westernbeef_biochar
4304,0.029725,0.029725,0.029725,0.029725,0.029725,,,,312.52778879616153,259.61286626069415,245.64932661231003,244.74217077807566,246.3701199237898,SSP1,Lower CI,Africa_Western,biochar,slow pyrolysis,dairy_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Westerndairy_biochar
4304,0.038525,0.038525,0.038525,0.038525,0.038525,,,,365.0488235294117,268.9917647058823,254.7935294117647,253.5417647058823,255.55941176470586,SSP1,Median,Africa_Western,biochar,slow pyrolysis,dairy_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Westerndairy_biochar
4304,0.029725,0.029725,0.029725,0.029725,0.029725,,,,462.25665564828284,309.0139849503784,289.8670879535163,288.68880961408115,293.2322330173867,SSP1,Upper CI,Africa_Western,biochar,slow pyrolysis,dairy_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Westerndairy_biochar
4305,0.026255,0.026255,0.026255,0.026255,0.026255,,,,200.05132899694684,153.06709608192176,145.235403819182,145.07625376521244,144.9022707718292,SSP1,Lower CI,Africa_Western,biochar,slow pyrolysis,goat_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Westerngoat_biochar
4305,0.034055,0.034055,0.034055,0.034055,0.034055,,,,248.0305882352941,153.7741176470588,150.34235294117644,150.14,150.67235294117646,SSP1,Median,Africa_Western,biochar,slow pyrolysis,goat_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Westerngoat_biochar
4305,0.026255,0.026255,0.026255,0.026255,0.026255,,,,344.8221350553407,183.53221187655572,176.2656606065883,175.86548292946534,179.6830513570223,SSP1,Upper CI,Africa_Western,biochar,slow pyrolysis,goat_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Westerngoat_biochar
4306,0.027336,0.027336,0.027336,0.027336,0.027336,,,,293.0316793663157,240.68622660912223,226.6117168453159,225.82541306914592,227.5595297949939,SSP1,Lower CI,Africa_Western,biochar,slow pyrolysis,pork_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Westernpork_biochar
4306,0.035336,0.035336,0.035336,0.035336,0.035336,,,,345.6582352941176,249.6341176470588,235.5447058823529,234.4135294117647,236.59647058823526,SSP1,Median,Africa_Western,biochar,slow pyrolysis,pork_biochar,missing,missing,missing,missing,missing,missing,missing,$/ton biochar,Africa_Westernpork_biochar
