Biomass type,C (%),H (%),N (%),O (%),WC (%),VM (%),FC (%),Ash (%),T (°C),RT (min),Char_yield (%),Char_C (%),Char_H (%),Char_N (%),Char_O (%),HHV (MJ/kg),ER (%),CR (%),Reference
Food waste,44.06,6.25,4.20,32.18,90.10,80.30,5.10,13.01,210,30,45.40,46.92,6.15,3.01,19.21,21.13,50.07,48.35,
Food waste,44.06,6.25,4.20,32.18,90.10,80.30,5.10,13.01,240,30,37.50,47.01,6.07,1.92,16.67,21.24,41.57,40.01,
Food waste,44.06,6.25,4.20,32.18,90.10,80.30,5.10,13.01,270,30,36.40,47.12,5.60,2.25,13.82,20.97,39.84,38.93,
Food waste,44.06,6.25,4.20,32.18,90.10,80.30,5.10,13.01,270,60,34.80,49.16,5.92,2.06,11.21,22.32,40.54,38.83,
Food waste,44.06,6.25,4.20,32.18,90.10,80.30,5.10,13.01,270,90,34.30,51.82,6.32,2.00,7.67,24.07,43.09,40.34,
Sludge,25.83,4.14,4.23,22.70,93.00,46.67,10.23,43.10,160,60,94.15,24.05,3.21,2.81,14.43,10.14,90.19,87.66,
Sludge,25.83,4.14,4.23,22.70,93.00,46.67,10.23,43.10,180,60,84.01,26.39,2.70,2.16,10.56,10.88,86.27,85.83,
Sludge,25.83,4.14,4.23,22.70,93.00,46.67,10.23,43.10,200,30,71.24,26.59,2.64,1.86,10.99,10.76,72.37,73.34,
Sludge,25.83,4.14,4.23,22.70,93.00,46.67,10.23,43.10,200,60,67.89,26.97,2.56,1.89,9.71,11.01,70.59,70.89,
Sludge,25.83,4.14,4.23,22.70,93.00,46.67,10.23,43.10,200,90,66.31,27.25,2.57,1.91,8.72,11.33,70.91,69.96,
Sludge,25.83,4.14,4.23,22.70,93.00,46.67,10.23,43.10,200,120,66.04,27.83,2.57,1.95,8.53,11.58,72.21,71.15,
Sludge,25.83,4.14,4.23,22.70,93.00,46.67,10.23,43.10,220,60,65.89,27.23,2.54,1.91,6.54,11.70,72.76,69.46,
Sludge,25.83,4.14,4.23,22.70,93.00,46.67,10.23,43.10,240,90,61.83,27.87,2.51,1.95,5.57,12.01,70.11,66.71,
Sludge,31.61,5.24,4.34,24.62,83.00,60.67,5.14,34.19,160,600,70.75,29.00,4.71,2.71,18.56,13.20,67.81,64.91,
Sludge,31.61,5.24,4.34,24.62,83.00,60.67,5.14,34.19,180,600,67.22,29.23,4.63,2.39,15.98,13.58,66.32,62.16,
Sludge,31.61,5.24,4.34,24.62,83.00,60.67,5.14,34.19,200,600,65.05,29.97,4.45,2.10,14.39,13.90,65.68,61.68,
