C (wt%),H (wt%),N (wt%),O (wt%),Bio_HHV,FC (%),VM (%),Ash (%),T (°C),RT (min),HT (°C/min),Yield_char (%),C_char (%),H_char (%),O_char (%),N_char (%),Char_HHV,ER,CR,REF,https://doi.org/10.1016/j.enconman.2020.113258,,
52.05,5.37,0.49,42.1,21.2,13.2,73.5,8.6,500,60,10,35.26,79.4,3.18,16.61,0.82,28.85,47.99,53.79,[1],0.480604534,0.156895466,0.008852105
43.06,5.98,0.55,50.42,16.44,10.8,79.4,2.9,500,60,10,29.05,64.93,2.55,31.14,1.12,21.34,37.72,43.8,,0.47127676,0.359695056,0.014785153
45.03,6.15,0.94,47.89,17.4,7.6,78,5.8,500,60,10,29.8,67.7,2.43,29.23,0.65,29.06,49.76,44.8,,0.430723781,0.323818316,0.008229584
42.72,5.61,0.44,51.24,16.38,4.97,82.6,5.27,500,60,10,33.6,63.68,2.28,33.43,0.63,18.79,38.54,50.09,[2],,,
42.76,5.99,0.39,50.88,16.27,3.22,82.7,0.24,500,60,10,30.24,65.33,2.56,31.37,0.75,20.12,37.4,46.2,,,,
47.58,6.13,0.52,45.73,16.85,13.32,85.53,1.15,700,10,5,29.92,88.12,1.17,9.54,1.03,28.02,49.76,55.41,[4],,,
47.58,6.13,0.52,45.73,16.85,13.32,85.53,1.15,700,10,10,21.98,89.71,1.19,7.91,1.05,28.25,36.86,41.45,,,,
47.58,6.13,0.52,45.73,16.85,13.32,85.53,1.15,700,10,20,20.08,87.23,1.13,10.34,1.16,27.76,33.08,36.81,,,,
47.58,6.13,0.52,45.73,16.85,13.32,85.53,1.15,700,10,30,18.17,85.94,0.87,11.86,1.21,27.29,29.44,32.83,,,,
47.58,6.13,0.52,45.73,16.85,13.32,85.53,1.15,300,10,10,49.3,68.56,3.85,26.54,0.92,25.43,74.4,71.04,[5],,,
47.58,6.13,0.52,45.73,16.85,13.32,85.53,1.15,400,10,10,30.7,74.64,3.48,20.8,0.94,27.46,50.03,48.16,,,,
47.58,6.13,0.52,45.73,16.85,13.32,85.53,1.15,500,10,10,26,79.12,2.53,17.19,1.03,28.15,43.44,43.23,,,,
47.58,6.13,0.52,45.73,16.85,13.32,85.53,1.15,600,10,10,24.3,83.95,1.67,13.23,1.01,28.97,41.78,42.87,,,,
47.58,6.13,0.52,45.73,16.85,13.32,85.53,1.15,700,10,10,23.6,88.34,1.26,9.2,1.06,29.56,41.4,43.82,,,,
48.12,6.48,1.89,43.51,18.92,15.9,69.5,2.9,400,30,10,35.83,79.65,3.96,15.72,0.67,28.64,54.23,59.31,[8],,,
48.12,6.48,1.89,43.51,18.92,15.9,69.5,2.9,500,30,10,22.62,83.27,3.33,12.62,0.78,28.38,33.93,39.15,,,,
48.12,6.48,1.89,43.51,18.92,15.9,69.5,2.9,600,30,10,21.07,84.31,2.41,12.52,0.76,27.18,30.27,36.92,,,,
46.21,6.01,1.91,45.87,18.11,15.6,65.3,11.7,500,30,10,27.28,77.34,2.64,17.23,2.79,23.69,35.68,45.67,,,,
48.37,4.98,0.38,46.27,19.46,18.5,70.4,1.2,500,30,10,22.33,87.61,2.15,9.31,0.93,30.47,34.96,40.44,,,,
47,6.44,0.44,45.63,18.27,18.06,80.57,1.37,500,30,7,31.05,77.72,2.94,17.89,1.08,27.65,46.99,51.35,[11],,,
46.8,6.45,0.47,45.74,18.17,18.1,80.06,1.83,500,30,7,30.53,78.46,2.73,17.75,0.84,27.57,46.33,51.18,,,,
48.02,6.71,0.52,44.19,18.7,18.22,79.76,2.02,500,30,7,30.79,80.09,2.71,16.2,0.84,28.31,46.61,51.35,,,,
47.03,6.45,0.53,45.46,18.29,17.03,80.59,1.21,500,30,7,30.26,80.23,2.77,16.24,0.64,28.45,47.08,51.63,,,,
30.52,48.97,0.34,20.17,20.77,25.9,74.1,2,600,60,5,31.8,90.6,2.8,7.9,0.9,33.6,51.45,94.41,[14],,,
26.77,46.89,0.45,25.89,17.91,14.7,85.3,4.4,600,60,5,27.7,88.6,2.8,13.7,1.3,30.1,46.56,91.68,,,,
27.22,49.96,0.71,22.1,14.15,19.1,80.9,19.6,600,60,5,39,54.5,2.1,5.4,1.1,19.3,53.19,78.08,,,,
31.21,44.14,1.02,23.63,20.6,22.8,77.2,0.6,600,60,5,28.2,93.9,3,2.6,0.4,33.7,46.13,84.85,,,,
28.63,48.57,0.92,21.88,16.74,14.1,85.9,7.9,600,60,5,30.3,75.3,2.6,4.5,1,26.5,47.98,79.69,,,,
25.15,49.87,2.62,22.35,16.48,6.9,93.1,4.2,600,60,5,28,83.2,3.2,14.2,4.8,31.4,53.34,92.61,,,,
29.49,48.9,1.03,20.59,18.79,19,80.5,4.5,600,60,5,30.5,71.8,2.8,11.6,1.9,24.1,39.11,74.27,,,,
24.68,49.69,0.38,25.26,17.64,14.7,85.3,5.3,600,60,5,30.8,82.6,2.7,12.8,2.4,26.6,46.45,103.09,,,,
51.88,6.21,0.16,41.76,18.27,15.09,84.75,0.15,350,60,10,32.7,75.74,5.29,18.75,0.22,29.47,52.75,47.74,[15],,,
51.88,6.21,0.16,41.76,18.27,15.09,84.75,0.15,400,60,10,27.9,77.85,4.9,17.06,0.2,29.96,45.75,41.87,,,,
51.88,6.21,0.16,41.76,18.27,15.09,84.75,0.15,500,60,10,23.3,85.79,3.89,10.1,0.23,32.4,41.32,38.53,,,,
