scenario_name,scenario_order,scenario_display,pathway,pathway_order,pathway_display,selected_in_baseline_portfolio,claim_color_group,metric_key,metric_display,metric_order,metric_value,normalized_value
baseline_region_case,1,Baseline region,htc,1,HTC,True,planning_ready,best_case_score_index,Score,0,1.226,0.919356
baseline_region_case,1,Baseline region,htc,1,HTC,True,planning_ready,baseline_portfolio_share_pct,Share,1,12.4,0.23672
baseline_region_case,1,Baseline region,htc,1,HTC,True,planning_ready,max_stress_selection_rate,Support,2,75.0,0.92
baseline_region_case,1,Baseline region,htc,1,HTC,True,planning_ready,best_case_energy_pj_per_year,Energy,3,10.37,0.844279
baseline_region_case,1,Baseline region,htc,1,HTC,True,planning_ready,best_case_environment_ktco2e_per_year,Environment,4,212.1,0.613627
baseline_region_case,1,Baseline region,htc,1,HTC,True,planning_ready,score_gap_to_scenario_best_pct,Score gap,5,0.0,0.92
baseline_region_case,1,Baseline region,pyrolysis,2,Pyrolysis,True,planning_ready,best_case_score_index,Score,0,0.913,0.717921
baseline_region_case,1,Baseline region,pyrolysis,2,Pyrolysis,True,planning_ready,baseline_portfolio_share_pct,Share,1,87.6,0.82328
baseline_region_case,1,Baseline region,pyrolysis,2,Pyrolysis,True,planning_ready,max_stress_selection_rate,Support,2,37.5,0.53
baseline_region_case,1,Baseline region,pyrolysis,2,Pyrolysis,True,planning_ready,best_case_energy_pj_per_year,Energy,3,9.65,0.791348
baseline_region_case,1,Baseline region,pyrolysis,2,Pyrolysis,True,planning_ready,best_case_environment_ktco2e_per_year,Environment,4,214.8,0.619656
baseline_region_case,1,Baseline region,pyrolysis,2,Pyrolysis,True,planning_ready,score_gap_to_scenario_best_pct,Score gap,5,25.5,0.718684
baseline_region_case,1,Baseline region,ad,3,AD,False,comparison_only,best_case_score_index,Score,0,0.081,0.182475
baseline_region_case,1,Baseline region,ad,3,AD,False,comparison_only,baseline_portfolio_share_pct,Share,1,0.0,0.14
baseline_region_case,1,Baseline region,ad,3,AD,False,comparison_only,max_stress_selection_rate,Support,2,,0.14
baseline_region_case,1,Baseline region,ad,3,AD,False,comparison_only,best_case_energy_pj_per_year,Energy,3,1.5,0.192196
baseline_region_case,1,Baseline region,ad,3,AD,False,comparison_only,best_case_environment_ktco2e_per_year,Environment,4,291.1,0.790037
baseline_region_case,1,Baseline region,ad,3,AD,False,comparison_only,score_gap_to_scenario_best_pct,Score gap,5,93.4,0.182632
baseline_region_case,1,Baseline region,baseline,4,Baseline,False,anchor_only,best_case_score_index,Score,0,0.018,0.141931
baseline_region_case,1,Baseline region,baseline,4,Baseline,False,anchor_only,baseline_portfolio_share_pct,Share,1,0.0,0.14
baseline_region_case,1,Baseline region,baseline,4,Baseline,False,anchor_only,max_stress_selection_rate,Support,2,,0.14
baseline_region_case,1,Baseline region,baseline,4,Baseline,False,anchor_only,best_case_energy_pj_per_year,Energy,3,0.79,0.14
baseline_region_case,1,Baseline region,baseline,4,Baseline,False,anchor_only,best_case_environment_ktco2e_per_year,Environment,4,0.0,0.14
